WinningCards	DiscardedCards:0	DiscardedCards:1	ActionsPlayedWin:0
Prince.opp	10	10	
Baron	6	6	
Baron	5	5	Baron,Priest
Baron	5	5	
Baron	5	5	
Baron	5	5	
Guard	8	8	
Prince.opp	11	11	
Guard	8	8	Guard,Prince,Guard
Baron	5	5	
Baron.opp	4	4	Priest
Baron.opp	3	3	Priest
Baron	5	5	
Guard	2	2	
Baron	5	5	Baron,Priest
Guard	5	5	
Baron	9	9	
Baron	11	11	
Baron.opp	5	5	
Guard	5	5	Guard,Priest
Baron.opp	3	3	Priest
Baron	5	5	
Baron	3	3	Baron
Baron	4	4	Baron,Priest
Prince.end	10	10	Guard,Guard,Prince,King,Handmaid,Countess
Prince.opp	11	11	Prince,Priest,Prince,Baron,Priest,Guard
Guard	8	8	Guard,Guard,Priest,Guard
Baron	5	5	
Baron.opp	5	5	Guard,Prince
Baron	5	5	
Guard	4	4	
Baron.opp	3	3	
Baron	3	3	Baron
Baron	2	2	Baron
Baron	4	4	Baron,Priest
Prince.opp	11	11	Prince,Guard,Guard,Handmaid,Countess
Prince.opp	11	11	Prince,Prince,Handmaid,Priest,Guard
Baron	9	9	Baron,King,Guard,Guard
Baron	5	5	Baron,Prince
Baron	5	5	
Baron	6	6	
Baron	5	5	Baron,Priest
Baron.opp	3	3	Guard
Baron	5	5	
Baron	2	2	
Guard	10	10	Guard,Guard,Prince,Countess,Guard
Baron	6	6	Baron,Priest,Guard
Baron.opp	10	10	
Prince.opp	11	11	
Baron	7	7	Baron,Guard,Baron
Guard	3	3	
Baron	5	5	Baron,Handmaid
Baron	4	4	Baron,Handmaid
Baron.opp	3	3	Priest
Baron	5	5	
Guard	2	2	
Baron	2	2	
Guard	10	10	
Guard	2	2	
Baron	2	2	
Guard	4	4	Guard,Handmaid
Baron	4	4	Baron,Handmaid
Baron.opp	3	3	Priest
Baron	5	5	
Baron	3	3	Baron
Baron.opp	2	2	
Guard	3	3	Guard
Prince.opp	11	11	Prince,Baron,Prince,Priest,Priest,Guard
Guard	10	10	Guard,Priest,Guard,Baron,Guard
Baron	4	4	Baron,Handmaid
Baron.opp	3	3	Priest
Baron	5	5	
Baron	3	3	Baron
Baron.opp	2	2	
Guard	10	10	
Guard	4	4	
Baron	5	5	Baron,Handmaid
Baron	5	5	
Baron.opp	3	3	
Guard	2	2	
Baron	5	5	
Baron	4	4	
Baron	3	3	Baron
Baron.opp	2	2	
Guard	3	3	Guard
Baron	8	8	Baron,Handmaid,Priest,Guard
Prince.end	10	10	
Guard	7	7	Guard,Countess,Handmaid
Baron.opp	2	2	
Baron.opp	3	3	
Guard	4	4	Guard
Baron	8	8	Baron,Princess,Handmaid,Guard
Prince.opp	11	11	
Baron	5	5	
Baron.opp	6	6	Priest,King
Baron	4	4	Baron,Priest
Guard	9	9	
Guard	2	2	
Baron	2	2	
Baron.opp	2	2	
Baron.opp	7	7	Priest,Baron,Guard
Baron	4	4	Baron,Handmaid
Baron.opp	5	5	Princess,Guard
Baron	8	8	Baron,Princess,Handmaid,Guard
Guard	4	4	Guard,Priest
Baron.opp	2	2	
Prince.opp	5	5	
Guard	2	2	
Baron	2	2	
Prince.opp	11	11	
Baron.opp	3	3	
Guard	2	2	
Baron.opp	2	2	
Guard	3	3	Guard
Prince.opp	11	11	Prince,Baron,Prince,Priest,Priest,Guard
Baron.opp	6	6	
Baron.opp	2	2	
Baron	3	3	
Baron.opp	3	3	
Baron.opp	5	5	
Baron	8	8	
Princess.opp	10	10	
Guard	10	10	
Guard	8	8	
Baron	2	2	
Baron.opp	2	2	
Baron	3	3	
Guard	7	7	
Prince.opp	11	11	
Prince.opp	11	11	Prince,Guard,Handmaid,Baron,Guard
Prince.opp	11	11	Prince,Handmaid,Countess,Guard,Priest,Guard
Guard	6	6	Guard,King,Guard
Princess.opp	10	10	Princess,King,Guard,Prince,Handmaid
Prince.opp	11	11	Prince,Guard,Handmaid,Priest,Prince,Handmaid
Guard	9	9	
Baron.opp	6	6	
Baron	3	3	Baron
Baron	5	5	
Baron.opp	3	3	
Baron	7	7	
Baron	4	4	Baron,Guard
Baron	8	8	Baron,Princess,Handmaid,Guard
Guard	6	6	Guard,Priest,Guard
Baron.opp	8	8	
Baron	2	2	
Baron	2	2	
Guard	2	2	Guard
Baron.opp	5	5	Guard,Priest
Baron.opp	7	7	Priest,Baron,Guard
Baron	2	2	Baron
Baron.opp	5	5	Princess,Guard
Guard	3	3	
Prince.opp	10	10	
Baron.opp	4	4	King
Guard	8	8	
Baron	4	4	
Prince.end	10	10	
Guard	10	10	
Baron.opp	10	10	Priest,Guard,Princess,Guard
Baron.opp	6	6	
Baron.opp	3	3	
Baron	7	7	Baron,Guard,Baron
Baron	4	4	
Baron.opp	7	7	
Princess.opp	10	10	Guard,Prince,Guard,Guard
Guard	5	5	
Baron	2	2	
Baron	4	4	
Guard	2	2	Guard
Baron	4	4	Baron,Handmaid
Princess.opp	10	10	Princess,Guard,Handmaid,Prince,Guard
Guard	5	5	
Princess.opp	10	10	
Baron	4	4	
Baron	2	2	
Baron	2	2	
Guard	7	7	Guard,King,Princess
Guard	5	5	
Baron	7	7	Baron,Guard,Guard
Baron	3	3	
Baron	4	4	Baron,Handmaid
Guard	3	3	
Baron	10	10	
Princess.opp	10	10	
Baron	4	4	
Baron	2	2	
Baron	2	2	
Prince.end	10	10	
Baron	4	4	
Baron	8	8	
Guard	4	4	
Baron.opp	6	6	Guard,Handmaid
Guard	7	7	Guard,King,Prince,Handmaid
Prince.opp	11	11	Prince,Guard,Handmaid,Prince,Priest
Prince.opp	11	11	Priest,Prince,Handmaid,Countess,Guard,Handmaid,Guard
Guard	9	9	
Guard	3	3	Guard
Baron	3	3	
Baron.opp	6	6	Guard,Handmaid
Baron	3	3	
Guard	7	7	
Baron.opp	7	7	Princess,Handmaid,Guard
Guard	6	6	Guard,Guard,Priest
Guard	5	5	
Baron	2	2	
Baron	2	2	
Guard	5	5	Guard,Princess
Guard	3	3	
Baron.opp	10	10	Priest,Princess,Guard,Guard
Baron	3	3	
Guard	10	10	Guard,Guard,Prince,Handmaid
Baron	3	3	
Baron	9	9	
Guard	4	4	Guard,Guard
Guard	7	7	
Baron	2	2	
Baron	2	2	
Prince.opp	11	11	Prince,Guard,Princess,Guard
Guard	7	7	
Baron.opp	9	9	
Baron.opp	3	3	
Baron.opp	6	6	Guard,Handmaid
Guard	2	2	Guard
Guard	4	4	Guard,Guard
Baron	5	5	
Baron	4	4	Baron,King
Guard	7	7	Guard,Guard,King,Handmaid
Baron.opp	5	5	Priest,Handmaid
Guard	8	8	Guard,Guard,Handmaid,Handmaid
Guard	3	3	
Prince.opp	11	11	Prince,Handmaid,Baron,Guard,Guard
Baron.opp	2	2	
Baron	9	9	
Baron	4	4	
Guard	8	8	Guard,Countess,Priest,King
Baron.opp	4	4	
Baron.opp	6	6	Guard,Handmaid
Baron.opp	8	8	Guard,King,Prince,Handmaid
Baron	8	8	
Prince.opp	11	11	Prince,Guard,Guard,King,Princess
Guard	7	7	
Baron	7	7	Baron,Guard,Guard
Baron.opp	2	2	
Baron.opp	9	9	Priest,Prince,Guard,Handmaid
Baron	3	3	
Baron	6	6	Baron,Prince
Baron	5	5	
Baron	6	6	Baron,Handmaid
Baron	9	9	Baron,Handmaid,Priest,Guard
Baron.opp	6	6	Handmaid,Prince,Priest
Prince.end	10	10	Countess,Handmaid,Guard,Handmaid,Guard
Guard	10	10	Guard,Guard,Priest,Priest,Handmaid
Baron	7	7	
Baron.opp	3	3	
Guard	5	5	
Baron.opp	4	4	Guard
Guard	4	4	Guard,Guard
Baron.opp	4	4	
Prince.opp	6	6	
Baron.opp	9	9	Guard,Guard,Guard
Baron	4	4	Baron,King
Prince.opp	11	11	
Prince.end	10	10	Guard,Guard,Countess,Handmaid,Handmaid
Baron.opp	9	9	Countess,Priest,Handmaid,Guard
Baron.opp	2	2	
Prince.opp	11	11	
Baron	2	2	
Baron	6	6	Baron,Prince
Baron	6	6	Baron,Guard,Priest
Baron	11	11	Baron,Guard,Handmaid,Priest,Countess
Guard	8	8	Guard,Handmaid,Priest,Guard
Baron	4	4	Baron,King
Guard	5	5	
Baron	7	7	Baron,Guard,Guard
Princess.end	10	10	
Baron	8	8	Baron,Priest,Handmaid,Prince
Baron	3	3	
Baron	6	6	Baron,Prince
Prince.end	10	10	
Guard	5	5	Guard,Princess
Guard	2	2	Guard
Baron.opp	5	5	King,Priest
Baron	4	4	Baron,Guard
Baron	7	7	
Baron.opp	3	3	
Baron	9	9	
Baron	2	2	
Baron	6	6	Baron,Prince
Baron	3	3	
Prince.opp	6	6	
Guard	6	6	Guard,Guard
Baron.opp	5	5	King,Priest
Baron	6	6	Baron,Guard,Handmaid
Guard	4	4	Guard,Priest
Guard	7	7	
Baron.opp	2	2	
Baron	8	8	Baron,Priest,Handmaid,Prince
Baron	3	3	
Guard	4	4	
Baron	4	4	
Guard	11	11	
Guard	8	8	
Baron	4	4	
Baron	6	6	
Baron.opp	4	4	Guard
Baron	6	6	Baron,Guard,Guard
Baron.opp	4	4	
Guard	5	5	Guard,Handmaid
Baron	9	9	Baron,Princess,Priest,Guard
Baron.opp	5	5	King,Priest
Guard	3	3	
Baron	4	4	
Baron.opp	10	10	Guard,Guard,Priest,Handmaid
Guard	4	4	Guard,Guard
Baron	3	3	
Baron	9	9	
Baron	4	4	
Baron	6	6	Baron,Handmaid
Guard	10	10	
Baron	4	4	
Baron.opp	4	4	Guard
Guard	8	8	Guard,Priest,Handmaid,Guard
Guard	11	11	
Baron	3	3	Baron
Baron	2	2	Baron
Guard	10	10	Guard,Priest,Guard,Guard,Handmaid
Guard	10	10	
Baron	6	6	Baron,King,Guard
Baron	5	5	
Baron.opp	6	6	
Baron	9	9	
Baron	4	4	
Baron.opp	4	4	Guard
Princess.end	10	10	
Guard	7	7	Guard,King,Handmaid
Baron.opp	10	10	
Guard	7	7	
Guard	2	2	Guard
Guard	10	10	
Guard	10	10	Guard,Guard,Countess,Guard,Guard
Baron.opp	5	5	King,Priest
Baron	6	6	Baron,Guard,Handmaid
Guard	4	4	Guard,Priest
Baron	4	4	Baron,Handmaid
Baron	10	10	
Guard	10	10	Guard,Guard,Handmaid,Princess
Baron	7	7	Baron,Priest,Countess,Handmaid
Guard	3	3	
Baron	7	7	Baron,Priest,King
Baron	4	4	Baron,Guard
Prince.opp	11	11	Prince,Guard,Countess,Priest,Handmaid,Guard
Baron	4	4	Baron,Handmaid
Baron.opp	8	8	
Baron.opp	2	2	
Guard	7	7	
Baron	2	2	
Guard	4	4	
Baron	5	5	Baron,Baron
Guard	3	3	
Baron.opp	4	4	King
Baron	4	4	Baron,Guard
Baron	9	9	
Guard	2	2	
Guard	5	5	
Baron.opp	2	2	
Guard	6	6	Guard,Guard,Handmaid
Baron	6	6	Baron,Priest,Guard
Guard	5	5	
Baron.opp	3	3	
Guard	11	11	
Baron	4	4	Baron,King
Baron	4	4	Baron,Guard
Baron.opp	3	3	Guard
Baron	4	4	Baron,Handmaid
Guard	5	5	Guard,Baron,Guard
Baron	2	2	Baron
Baron	9	9	
Baron	2	2	
Baron	5	5	Baron,Guard
Baron	4	4	Baron,Guard
Prince.opp	11	11	
Guard	7	7	Guard,Priest,Handmaid
Guard	4	4	Guard,Guard
Baron	2	2	Baron
Guard	5	5	
Baron	2	2	
Baron.opp	7	7	
Guard	2	2	
Prince.opp	11	11	Countess,Priest,Handmaid,Guard,King
Baron	2	2	Baron
Baron.opp	5	5	King,Guard
Guard	4	4	Guard,Priest
Guard	9	9	
Baron	3	3	Baron
Baron	2	2	Baron
Prince.opp	11	11	
Baron	2	2	
Baron	5	5	Baron,Guard
Guard	6	6	Guard,Guard,Guard
Baron	7	7	Baron,Prince,Priest
Baron	6	6	Baron,Guard,Handmaid
Guard	7	7	
Baron	3	3	Baron
Baron	2	2	Baron
Baron	3	3	
Baron	2	2	
Guard	4	4	
Baron	5	5	Baron,Baron
Baron	7	7	Baron,Guard,Priest,Prince
Guard	4	4	Guard,Handmaid
Baron	6	6	Baron,King,Guard
Guard	7	7	
Baron	4	4	
Baron	2	2	
Prince.opp	11	11	Handmaid,Prince,Guard,Baron,Guard,Guard,Guard
Baron	2	2	Baron
Guard	4	4	Guard,Handmaid
Baron.opp	2	2	
Baron.opp	7	7	
Guard	2	2	
Guard	7	7	
Prince.end	10	10	
Baron	5	5	
Baron	9	9	Baron,Guard,Guard,Guard
Baron	4	4	Baron,Handmaid
Baron	4	4	Baron,King
Baron	5	5	
Baron	2	2	Baron
Baron	3	3	
Baron	2	2	
Baron.opp	7	7	
Baron.opp	3	3	
Guard	2	2	
Princess.opp	10	10	
Baron	5	5	
Baron	3	3	
Baron	2	2	
Guard	5	5	Guard,Countess
Baron.opp	2	2	
Baron	11	11	
Prince.opp	11	11	Prince,Prince,Guard,Countess,Handmaid,Handmaid
Baron.opp	7	7	
Guard	9	9	Guard,Countess,Guard,Guard
Baron.opp	8	8	
Baron	2	2	
Guard	3	3	
Baron	5	5	Baron,Guard
Baron	5	5	
Baron.opp	7	7	Guard,Prince
Baron	2	2	Baron
Baron	6	6	Baron,King,Guard
Guard	2	2	Guard
Baron	6	6	Baron,Countess,Handmaid
Baron	2	2	Baron
Baron	7	7	
Baron.opp	3	3	
Guard	9	9	
Guard	2	2	
Baron	5	5	
Baron.opp	10	10	
Baron	4	4	
Baron	5	5	
Guard	5	5	Guard,King
Baron	2	2	Baron
Guard	2	2	Guard
Guard	3	3	
Baron.opp	4	4	Guard
Baron	4	4	Baron,King
Baron	5	5	
Guard	2	2	
Baron.opp	2	2	
Guard	2	2	Guard
Baron.opp	7	7	
Baron	6	6	
Baron.opp	5	5	
Guard	7	7	Guard,Countess,Guard
Baron	4	4	Baron,Handmaid
Baron	2	2	Baron
Baron	7	7	
Baron.opp	3	3	
Guard	6	6	
Baron.opp	4	4	Guard
Baron	5	5	Baron,Guard,King
Guard	5	5	
Guard	4	4	Guard,Handmaid
Baron.opp	5	5	King,Guard
Guard	9	9	
Baron.opp	4	4	Guard
Baron	2	2	Baron
Guard	2	2	Guard
Baron	2	2	Baron
Princess.end	10	10	
Guard	3	3	Guard
Baron	8	8	
Guard	7	7	Guard,Guard,Guard
Baron.opp	4	4	
Baron	2	2	
Guard	3	3	Guard
Baron	5	5	
Baron.opp	2	2	
Baron.opp	6	6	
Baron.opp	9	9	
Prince.opp	10	10	
Guard	9	9	
Baron.opp	4	4	Guard
Baron	4	4	Baron,King
Guard	4	4	Guard,Guard
Baron	2	2	Baron
Baron	2	2	Baron
Guard	5	5	
Baron.opp	5	5	Prince
Princess.end	10	10	
Guard	4	4	
Baron	9	9	Baron,Guard,Countess,Guard
Baron	4	4	Baron,Handmaid
Baron	4	4	Baron,King
Guard	3	3	
Baron.opp	3	3	
Baron.opp	2	2	
Baron.opp	8	8	Prince,Priest,Guard
Princess.opp	10	10	Princess,Baron,Priest,Prince,Priest
Princess.end	10	10	
Baron	3	3	Baron
Baron	9	9	
Guard	4	4	
Baron	6	6	
Baron	6	6	Baron,King,Guard
Baron	2	2	Baron
Baron.opp	3	3	Guard
Baron	2	2	Baron
Princess.opp	10	10	Princess,Guard,Baron,Handmaid,Handmaid
Baron.opp	4	4	
Princess.opp	10	10	Princess,Priest,Handmaid,Prince,King,Prince
Princess.end	10	10	
Guard	5	5	Guard,Baron
Baron	8	8	Baron,Countess,Guard,Handmaid
Baron	7	7	
Baron.opp	3	3	
Baron.opp	2	2	
Baron	4	4	Baron,Guard
Princess.opp	10	10	
Princess.end	10	10	Priest,Handmaid,Prince,Guard,Guard
Baron	3	3	
Baron	8	8	
Guard	5	5	Guard,Priest
Baron	6	6	Baron,Guard,Countess
Baron	9	9	
Baron	2	2	
Baron	2	2	Baron
Baron	4	4	Baron,Handmaid
Baron.opp	8	8	Prince,Priest,Guard
Baron.opp	6	6	Prince,Priest
Guard	6	6	
Baron	3	3	Baron
Baron	9	9	
Guard	5	5	Guard,Priest
Guard	5	5	
Baron.opp	6	6	
Baron	2	2	
Baron	5	5	
Guard	3	3	Guard
Baron	4	4	Baron,Handmaid
Guard	2	2	Guard
Guard	10	10	Guard,Priest,Baron,King,Prince,Priest
Princess.end	10	10	
Prince.opp	10	10	
Baron.opp	9	9	
Guard	3	3	Guard
Baron	6	6	Baron,Countess,Guard
Prince.opp	10	10	
Baron	2	2	
Guard	7	7	Guard,Prince,Guard
Baron.opp	7	7	
Princess.end	10	10	Priest,Baron,Priest,Guard,Guard,Handmaid
Baron	11	11	Baron,Handmaid,Baron,Prince,Priest,Guard
Guard	10	10	Guard,Priest,Baron,Guard,Prince,King
Guard	6	6	
Baron	3	3	Baron
Guard	5	5	
Baron.opp	8	8	Guard,Handmaid,Priest
Baron	6	6	Baron,King,Countess
Baron.opp	8	8	
Baron	2	2	
Baron	4	4	Baron,Guard
Baron	7	7	Baron,Handmaid,Guard,Guard
Baron.opp	5	5	
Princess.end	10	10	Priest,Handmaid,Prince,Guard,Guard
Baron	7	7	
Baron	8	8	
Baron	11	11	
Guard	5	5	Guard,Guard
Baron	6	6	
Baron	2	2	
Baron.opp	4	4	
Prince.opp	11	11	Prince,Countess,Priest,Prince,Guard
Baron	3	3	
Baron.opp	9	9	
Prince.opp	10	10	
Baron	6	6	
Baron.opp	8	8	Guard,Handmaid,Guard
Baron.opp	3	3	Guard
Prince.opp	10	10	
Baron	4	4	
Guard	2	2	
Baron	3	3	
Guard	4	4	
Guard	3	3	Guard
Guard	7	7	
Baron.opp	6	6	
Baron	2	2	
Guard	3	3	Guard
Baron	8	8	
Prince.opp	10	10	Priest,Prince,Priest,Guard,Guard,Handmaid
Princess.end	10	10	Priest,Handmaid,Baron,Guard,Handmaid,Guard
Baron	5	5	
Baron	8	8	Baron,Countess,Guard,Handmaid
Guard	2	2	Guard
Baron	8	8	Baron,Handmaid,King,Countess
Baron	6	6	
Baron	2	2	
Baron	8	8	Baron,Prince,Guard
Baron.opp	7	7	
Baron	8	8	Baron,Handmaid,Guard
Guard	3	3	
Baron	7	7	Baron,Guard,Guard
Baron	4	4	Baron,Priest
Prince.opp	10	10	Handmaid,King,Handmaid,Guard,Guard,Priest
Baron	6	6	Baron,Guard,Countess
Baron	6	6	
Baron	2	2	
Baron	5	5	
Baron	4	4	
Baron.opp	8	8	
Baron	5	5	Baron,Guard
Guard	2	2	Guard
Baron	11	11	Baron,Guard,Guard,Guard,Priest,Prince
Guard	2	2	Guard
Guard	2	2	Guard
Guard	9	9	
Baron	6	6	Baron,King,Guard
Baron.opp	4	4	
Baron	5	5	
Baron	4	4	
Baron	8	8	Baron,Guard,Guard
Baron	4	4	Baron,Guard
Baron	7	7	
Guard	2	2	
Baron	2	2	
Baron.opp	8	8	Guard,Handmaid,Guard
Guard	4	4	Guard,Guard
Baron.opp	6	6	Prince,Guard
Baron.opp	7	7	
Guard	2	2	
Guard	2	2	
Guard	3	3	Guard
Baron.opp	10	10	Guard,Guard,Guard,Priest,Prince
Baron.opp	4	4	
Guard	3	3	Guard
Baron	9	9	Baron,King,Prince,Guard
Guard	3	3	
Baron	5	5	
Baron	11	11	
Baron	8	8	Baron,Guard,Guard
Guard	3	3	
Guard	8	8	
Guard	2	2	
Baron	2	2	
Baron	5	5	Baron,Guard,Prince
Baron.opp	7	7	
Guard	2	2	
Princess.end	10	10	
Guard	3	3	Guard
Baron	4	4	Baron,Priest
Baron.opp	4	4	
Prince.opp	10	10	
Baron	5	5	Baron,Guard
Baron	9	9	
Baron.opp	3	3	
Guard	10	10	
Guard	5	5	Guard,Guard
Baron	4	4	Baron,Guard
Baron	5	5	
Baron	4	4	
Baron	8	8	
Guard	3	3	Guard
Baron	7	7	Baron,King,Prince,Guard
Baron	10	10	
Guard	4	4	
Princess.end	10	10	Guard,Baron,Priest,Guard,Priest,Prince
Baron.opp	6	6	
Baron	8	8	
Guard	10	10	Guard,Guard,Baron,Prince,Guard
Baron	5	5	
Baron	4	4	Baron
Baron.opp	4	4	
Guard	10	10	
Princess.end	10	10	
Baron	9	9	
Prince.opp	10	10	Guard,Prince,Guard,Baron,Prince,Guard
Baron	7	7	
Guard	10	10	
Guard	3	3	Guard
Baron	4	4	Baron,Priest
Guard	9	9	
Guard	2	2	
Baron	5	5	Baron,Guard
Prince.opp	10	10	
Guard	3	3	Guard
Baron.opp	9	9	Prince,Guard,Prince
Guard	8	8	Guard,Priest,Guard,Guard
Baron.opp	3	3	Guard
Baron	7	7	
Baron	4	4	
Baron	2	2	
Baron.opp	3	3	
Guard	4	4	
Prince.opp	10	10	
Baron.opp	5	5	
Baron	4	4	Baron,Priest
Baron.opp	4	4	
Baron.opp	3	3	
Baron	5	5	Baron,Guard
Baron	9	9	
Baron	5	5	Baron,Guard
Baron	11	11	
Baron	10	10	
Baron.opp	6	6	Guard,Handmaid
Baron	2	2	Baron
Guard	9	9	
Baron	5	5	
Baron.opp	4	4	
Guard	8	8	
Baron.opp	5	5	
Baron.opp	9	9	Guard,Handmaid,Priest
Baron.opp	3	3	Guard
Guard	5	5	Guard,Prince
Baron.opp	6	6	
Baron	11	11	
Baron	4	4	
Guard	9	9	Guard,Priest,King,Countess
Guard	4	4	Guard,Priest
Guard	5	5	Guard,Guard,Priest
Guard	5	5	
Baron.opp	2	2	
Guard	2	2	
Guard	4	4	
Baron.opp	3	3	
Guard	5	5	Guard,Priest
Guard	8	8	Guard,Priest,Guard,Guard
Baron.opp	3	3	Guard
Baron	2	2	Baron
Guard	9	9	
Baron	7	7	
Guard	8	8	Guard,Guard,Priest,Prince
Baron	7	7	
Baron.opp	8	8	Priest,Prince,Guard,King
Baron	9	9	
Baron.opp	5	5	
Baron.opp	6	6	
Baron	10	10	
Guard	5	5	Guard,Handmaid
Baron	2	2	Baron
Guard	9	9	
Baron	7	7	
Guard	8	8	Guard,Priest,Guard
Guard	3	3	
Prince.opp	10	10	
Guard	4	4	
Guard	5	5	Guard,Priest
Baron.opp	6	6	
Guard	2	2	
Baron.opp	2	2	
Princess.end	10	10	
Guard	6	6	Guard,Prince
Princess.end	10	10	
Baron	7	7	Baron,Guard,Handmaid
Baron.opp	4	4	
Baron.opp	5	5	Guard,Guard
Baron.opp	8	8	Priest,Guard,Prince,Prince
Guard	4	4	Guard,Guard
Guard	2	2	Guard
Baron	2	2	Baron
Princess.end	10	10	
Baron	5	5	Baron,Priest
Princess.end	10	10	
Guard	5	5	Guard,Handmaid
Baron	11	11	
Baron.opp	6	6	Priest,Guard
Baron.opp	3	3	Guard
Baron	2	2	Baron
Princess.opp	10	10	
Guard	5	5	
Guard	8	8	Guard,Priest,Guard
Guard	3	3	
Guard	9	9	Guard,Handmaid,Guard,Guard
Baron.opp	5	5	Guard,Guard
Baron	5	5	Baron,Priest,Prince
Baron.opp	6	6	
Guard	4	4	
Baron.opp	2	2	
Guard	2	2	Guard
Princess.opp	10	10	Princess,Guard,Guard,Priest,Priest
Guard	2	2	Guard
Guard	6	6	Guard,Priest,Guard
Baron	4	4	Baron,Priest
Baron	3	3	
Baron	3	3	Baron
Baron.opp	3	3	Guard
Baron	2	2	Baron
Guard	2	2	Guard
Guard	3	3	
Princess.opp	10	10	Princess,Handmaid,Countess,Priest,Guard
Guard	5	5	
Guard	9	9	Guard,Baron,Guard,Guard
Baron.opp	5	5	Guard,Guard
Baron	5	5	Baron,Priest,Prince
Baron	2	2	Baron
Baron	10	10	Baron,Guard,Priest,Countess,Guard
Baron	7	7	Baron,Priest,Priest
Baron	11	11	
Baron	7	7	Baron,Guard,Handmaid
Baron	4	4	Baron,Priest
Baron	5	5	
Guard	2	2	
Guard	5	5	Guard,King
Guard	10	10	Guard,Baron,Guard,Guard,Prince
Guard	9	9	
Baron	5	5	Baron,Priest
Guard	2	2	Guard
Guard	10	10	Guard,Handmaid,Guard,Priest,Guard
Prince.opp	10	10	
Baron	2	2	
Baron	3	3	Baron
Guard	5	5	
Baron	7	7	
Baron	4	4	
Baron	3	3	Baron
Baron	2	2	Baron
Baron.opp	3	3	Guard
Guard	4	4	Guard,Priest
Guard	2	2	Guard
Guard	6	6	Guard,Guard,Countess
Baron	4	4	Baron,Priest
Baron.opp	5	5	Guard,Guard
Baron.opp	8	8	Guard,Prince,Priest
Princess.end	10	10	
Baron	8	8	Baron,Guard,Guard
Princess.opp	10	10	Princess,Handmaid,Guard,Priest,Guard
Baron.opp	7	7	Guard,Priest,Guard
Prince.opp	10	10	Guard,Handmaid,Prince,Guard,Priest,Countess
Baron.opp	5	5	Guard,Guard
Baron	5	5	Baron,Priest,Prince
Prince.opp	11	11	Prince,Prince,King,Countess,Guard
Baron	8	8	
Baron	4	4	
Baron	3	3	Baron
Guard	5	5	
Baron	4	4	
Guard	5	5	Guard,Priest
Baron	6	6	
Guard	5	5	Guard,Priest
Baron	7	7	Baron,Prince,Guard
Baron	2	2	Baron
Baron	7	7	
Baron	10	10	Baron,Prince,Handmaid,Guard
Baron	8	8	Baron,Handmaid,Guard,King
Baron	4	4	Baron,Priest
Guard	3	3	
Baron	2	2	
Baron	3	3	Baron
Guard	3	3	
Baron.opp	10	10	
Baron	4	4	
Baron	3	3	Baron
Baron.opp	8	8	
Baron	3	3	Baron
Baron	4	4	Baron,Guard
Baron	4	4	Baron,Guard
Baron.opp	2	2	
Baron.opp	3	3	Guard
Guard	4	4	
Guard	6	6	
Princess.opp	10	10	
Baron	4	4	
Baron	5	5	Baron,Baron
Baron	4	4	Baron,Handmaid
Guard	2	2	Guard
Baron	4	4	Baron,Guard
Baron.opp	10	10	King,Guard,Baron,Prince,Guard
Baron.opp	5	5	
Baron.opp	9	9	
Guard	2	2	
Guard	4	4	
Guard	7	7	Guard,Guard,King
Guard	3	3	
Baron.opp	2	2	
Baron	2	2	Baron
Baron	6	6	Baron,Handmaid,Handmaid
Baron	6	6	
Guard	6	6	
Baron	6	6	Baron,Priest,Guard
Baron	7	7	Baron,Priest,Handmaid
Baron	9	9	Baron,Prince,Guard,Baron,Priest
Guard	2	2	Guard
Baron	7	7	Baron,Prince,Guard
Baron	2	2	Baron
Baron	2	2	Baron
Baron	2	2	Baron
Princess.opp	10	10	Princess,Guard,Guard,King,Guard
Baron	4	4	Baron,Guard
Princess.end	10	10	
Guard	2	2	
Baron	3	3	Baron
Baron	2	2	Baron
Guard	2	2	Guard
Princess.end	10	10	Baron,Priest,Guard,Baron,Guard
Baron.opp	7	7	
Baron	7	7	
Baron	4	4	
Baron	7	7	Baron,Handmaid,Handmaid
Princess.end	10	10	Handmaid,Guard,Guard,Countess,Prince,Guard
Princess.end	10	10	Priest,Prince,Guard,Guard,Guard
Baron	2	2	Baron
Baron.opp	4	4	
Baron	11	11	
Baron	2	2	
Baron.opp	9	9	Priest,Prince,Handmaid,Priest
Baron	4	4	Baron,Guard
Baron.opp	7	7	
Guard	6	6	Guard,Guard,Priest
Baron	2	2	Baron
Baron	8	8	
Guard	8	8	Guard,Guard,Prince
Baron	3	3	
Guard	3	3	Guard
Baron	2	2	Baron
Baron	4	4	Baron,Handmaid
Baron	6	6	
Guard	6	6	
Baron.opp	10	10	
Baron	2	2	
Baron	4	4	Baron
Baron	2	2	Baron
Princess.end	10	10	Guard,Guard,Handmaid,Priest,Prince,Guard
Guard	4	4	Guard,Guard
Baron.opp	2	2	
Prince.opp	10	10	Baron,Prince,Guard,Baron,Priest,Guard
Baron	2	2	Baron
Guard	3	3	
Baron.opp	5	5	
Guard	3	3	Guard
Baron.opp	2	2	
Baron.opp	4	4	
Guard	11	11	
Princess.end	10	10	Handmaid,Guard,Prince,King,Guard
Guard	3	3	
Baron	2	2	
Baron.opp	3	3	Guard
Baron	8	8	Baron,Guard,Handmaid,Guard
Baron	4	4	Baron,Guard
Baron.opp	8	8	King,Baron,Handmaid
Baron	4	4	Baron,Priest
