GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1170105035,SushiGo,3,GAME_OVER,84,0,3,2,1,Basic MCTS,1,3,3,2,Basic MCTS,2,Basic MCTS,Basic MCTS,58.0,41.0,45.0,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,84,0,3,3,1,Basic MCTS,1,3,3,2,Basic MCTS,2,Basic MCTS,Basic MCTS,73.0,39.0,42.0,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,83,0,3,4,1,Basic MCTS,1,2,2,3,Basic MCTS,3,RandomPlayer,Basic MCTS,67.0,43.0,26.0,Basic MCTS,RandomPlayer,Basic MCTS,Basic MCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,85,0,3,5,1,Basic MCTS,1,2,2,3,Basic MCTS,3,RandomPlayer,Basic MCTS,69.0,47.0,31.0,Basic MCTS,RandomPlayer,Basic MCTS,Basic MCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,84,0,3,6,1,Basic MCTS,1,3,3,2,Basic MCTS,2,Basic MCTS,Basic MCTS,68.0,37.0,42.0,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,85,0,3,7,1,Basic MCTS,1,2,2,3,Basic MCTS,3,Basic MCTS,Basic MCTS,61.0,52.0,41.0,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,82,0,3,8,1,Basic MCTS,1,2,2,3,Basic MCTS,3,RandomPlayer,Basic MCTS,64.0,34.0,31.0,Basic MCTS,RandomPlayer,Basic MCTS,Basic MCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,83,0,3,9,1,Basic MCTS,1,2,2,3,Basic MCTS,3,RandomPlayer,Basic MCTS,58.0,48.0,30.0,Basic MCTS,RandomPlayer,Basic MCTS,Basic MCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,83,0,3,10,1,Basic MCTS,1,2,2,3,Basic MCTS,3,Basic MCTS,Basic MCTS,68.0,50.0,32.0,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,86,0,3,11,2,Basic MCTS,2,3,3,1,Basic MCTS,1,Basic MCTS,Basic MCTS,50.0,44.0,51.0,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,Basic MCTS,2
-1170105035,SushiGo,3,GAME_OVER,83,0,3,12,1,Basic MCTS,1,2,2,3,Basic MCTS,3,RandomPlayer,Basic MCTS,56.0,51.0,32.0,Basic MCTS,RandomPlayer,Basic MCTS,Basic MCTS,RandomPlayer,1
