GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter(RoundCounter),Kills(Barghest Minion 1),Kills(Hero 1),Kills(Barghest Minion 3),Kills(Barghest Minion 2),Kills(Hero 3),Kills(Hero 2),Kills(Hero 4),Kills(Goblin Minion 3),Kills(Goblin Minion 4),Kills(Goblin Minion 1),Kills(Goblin Minion 2),Kills(Goblin Master),Kills(Barghest Master),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-4),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3),GameScore(PlayerName-4)
-1533947634,Descent2e,0,ROUND_OVER,117,12,5,2,,,,,,,,,,,,Goblin Archer minion 2 (7943) defeated by Jain Fairwood (7871),,,"(6,4)","(4,4)","(7,3)","(11,6)","(4,5)","(4,6)","(4,7)","(5,10)","(9,7)","(3,7)","(4,9)","(4,15)","(11,4)",5,4,1,2,2,8,14,2,2,12,6,6,6,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.7142857142857143,-0.42857142857142855,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA,OSLA
-1533947634,Descent2e,1,ROUND_OVER,177,12,5,2,,,,,,,,,,,Goblin Archer minion 1 (7933) defeated by Grisban the Thirsty (7912),,,,"(6,4)","(5,6)","(7,3)","(11,6)","(4,5)","(5,3)","(4,6)","(6,15)","(9,7)","(3,14)","(3,15)","(4,15)","(11,4)",8,4,3,2,2,10,13,2,2,12,6,6,6,8,4.285714285714286,OSLA,-2.142857142857143,-2.142857142857143,-1.2857142857142858,2.142857142857143,-2.142857142857143,-2.142857142857143,OSLA,OSLA,OSLA,OSLA
-1533947634,Descent2e,2,ROUND_OVER,243,13,5,2,,,,,,,,,,,,,,,"(6,4)","(4,4)","(7,3)","(11,6)","(4,5)","(5,3)","(4,3)","(6,15)","(5,15)","(3,14)","(3,15)","(4,15)","(11,4)",8,4,5,2,2,10,13,2,2,12,6,3,6,8,7.142857142857143,OSLA,-3.5714285714285716,-3.5714285714285716,-2.1428571428571432,3.5714285714285716,-3.5714285714285716,-3.5714285714285716,OSLA,OSLA,OSLA,OSLA
-1533947634,Descent2e,3,ROUND_OVER,287,12,5,2,,Barghest minion 1 (7983) defeated by Widow Tarha (7899),,,,,,,,,,,,,"(11,6)","(4,6)",Dead,"(7,3)","(4,5)","(5,3)","(7,2)","(6,15)","(5,15)","(3,14)","(3,15)","(4,15)","(11,4)",8,4,7,2,2,10,14,2,2,12,6,6,Dead,8,5.0,OSLA,-2.5,-2.5,-1.5,2.5,-2.5,-2.5,OSLA,OSLA,OSLA,OSLA
