GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
-1533947634,Descent2e,0,ABOUT_TO_START,0,0,5,2,"(6,4)","(2,15)","(7,3)","(11,6)","(2,16)","(1,15)","(1,16)","(2,5)","(5,6)","(4,2)","(3,6)","(5,5)","(11,4)"
-1533947634,Descent2e,0,ROUND_OVER,117,12,5,2,"(6,4)","(4,4)","(7,3)","(11,6)","(4,5)","(4,6)","(4,7)","(5,10)","(9,7)","(3,7)","(4,9)","(4,15)","(11,4)"
-1533947634,Descent2e,1,ROUND_OVER,177,12,5,2,"(6,4)","(5,6)","(7,3)","(11,6)","(4,5)","(5,3)","(4,6)","(6,15)","(9,7)","(3,14)","(3,15)","(4,15)","(11,4)"
-1533947634,Descent2e,2,ROUND_OVER,243,13,5,2,"(6,4)","(4,4)","(7,3)","(11,6)","(4,5)","(5,3)","(4,3)","(6,15)","(5,15)","(3,14)","(3,15)","(4,15)","(11,4)"
-1533947634,Descent2e,3,ROUND_OVER,287,12,5,2,"(11,6)","(4,6)",Dead,"(7,3)","(4,5)","(5,3)","(7,2)","(6,15)","(5,15)","(3,14)","(3,15)","(4,15)","(11,4)"
-1533947634,Descent2e,4,GAME_OVER,288,0,5,2,"(11,6)","(4,6)",Dead,"(7,3)","(4,5)","(5,3)","(7,2)","(6,15)","(5,15)","(3,14)","(3,15)","(4,15)","(11,4)"
