"id","alpha","gamma","epsilon","solver","nGamesTotal","nGamesThisId","startId","startNGames"
"1","0.10000000149011600","0.10000000149011600","0.25","Q_LEARNING","500000","500000","0","0"
"2","0.20000000298023200","0.20000000298023200","0.25","Q_LEARNING","1000000","500000","1","500000"
"3","0.5","0.5","0.5","Q_LEARNING","1000000","1000000","0","0"
"4","0.25","0.25","0.3499999940395355","Q_LEARNING","10000000","9000000","2","1000000"
