GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
-1459022739,Descent2e,3,ROUND_OVER,251,10,4,11,,,,,,,,,,,,,
-1459022739,Descent2e,4,GAME_OVER,252,0,4,11,,,,,,,,,,,,,
686380075,Descent2e,0,ROUND_OVER,97,9,4,12,,,,,,,,Goblin Archer minion 3 (1177916) defeated by Jain Fairwood (1177847),,,,,
686380075,Descent2e,1,ROUND_OVER,142,10,4,12,,,,,,,,,,,,,
686380075,Descent2e,2,ROUND_OVER,200,10,4,12,,Jain Fairwood (1177847) defeated by Barghest minion 1 (1177936),,,,,,,,,,,
686380075,Descent2e,3,ROUND_OVER,238,10,4,12,,,,,,,,,,,,,
686380075,Descent2e,4,GAME_OVER,240,0,4,12,,,,,,,,,,,,,
-1832735679,Descent2e,0,ROUND_OVER,97,10,4,13,,,,,,,,,,,,,
-1832735679,Descent2e,1,ROUND_OVER,130,9,4,13,Barghest minion 1 (1302801) defeated by Grisban the Thirsty (1302740),,,,,,,,,,,,
-1832735679,Descent2e,2,ROUND_OVER,164,9,4,13,,,,,,,,,,,,,
-1832735679,Descent2e,3,ROUND_OVER,207,9,4,13,,,,,,,,,,,,,
-1832735679,Descent2e,4,GAME_OVER,208,0,4,13,,,,,,,,,,,,,
-170836685,Descent2e,0,ROUND_OVER,89,9,4,14,,,,,,,,Goblin Archer minion 3 (1411813) defeated by Jain Fairwood (1411744),,,,,
-170836685,Descent2e,1,ROUND_OVER,127,9,4,14,,,,,,,,,,Goblin Archer minion 1 (1411793) defeated by Grisban the Thirsty (1411772),,,
-170836685,Descent2e,2,ROUND_OVER,167,9,4,14,,,,,,,,Goblin Archer minion 3 (1484126) defeated by Grisban the Thirsty (1411772),,,,,
-170836685,Descent2e,3,ROUND_OVER,217,9,4,14,,,,,,,,,,,,,Barghest master (1411823) defeated by Jain Fairwood (1411744)
-170836685,Descent2e,4,GAME_OVER,218,0,4,14,,,,,,,,,,,,,
192253389,Descent2e,0,ROUND_OVER,105,10,4,15,,,,,,,,,,,,,
192253389,Descent2e,1,ROUND_OVER,158,10,4,15,,,,,,,,,,,,,
192253389,Descent2e,2,ROUND_OVER,207,9,4,15,,,,,,,,,,,,Goblin Archer master (1541287) defeated by Widow Tarha (1541276),
192253389,Descent2e,3,ROUND_OVER,262,10,4,15,,,,,,,,,,,,,
192253389,Descent2e,4,GAME_OVER,263,0,4,15,,,,,,,,,,,,,
-1288883639,Descent2e,0,ROUND_OVER,88,10,4,16,,,,,,,,,,,,,
-1288883639,Descent2e,1,ROUND_OVER,135,9,4,16,,,,,,,,Goblin Archer minion 3 (1674820) defeated by Widow Tarha (1674765),,,,,
-1288883639,Descent2e,2,ROUND_OVER,199,10,4,16,,,,,,,,,,,,,
-1288883639,Descent2e,3,ROUND_OVER,243,10,4,16,,,,,,Tomble Burrowell (1674778) defeated by Goblin Archer master (1674790),,,,,,,
-1288883639,Descent2e,4,GAME_OVER,244,0,4,16,,,,,,,,,,,,,
495210545,Descent2e,0,ROUND_OVER,97,10,4,17,,Tomble Burrowell (1792025) defeated by Goblin Archer minion 3 (1792093),,,,,,,,,,,
495210545,Descent2e,1,ROUND_OVER,140,10,4,17,,Tomble Burrowell (1792025) defeated by Goblin Archer minion 2 (1792083),,,,,,,,,,,
495210545,Descent2e,2,ROUND_OVER,183,9,4,17,,Syndrael (1792039) defeated by Barghest minion 2 (1792123),,,,,,,,,,,Barghest master (1792103) defeated by Syndrael (1792039)
495210545,Descent2e,3,ROUND_OVER,211,9,4,17,,,,,,Widow Tarha (1792052) defeated by Barghest minion 2 (1792123),,,,,,,
495210545,Descent2e,4,ROUND_OVER,238,9,4,17,,,,,,Widow Tarha (1792052) defeated by Barghest minion 2 (1792123),,,,,,,
