GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
33362573,Descent2e,4,GAME_OVER,225,0,4,97,overlord
254262560,Descent2e,5,GAME_OVER,290,0,4,98,overlord
-515585900,Descent2e,4,GAME_OVER,224,0,4,99,overlord
-1944787339,Descent2e,4,GAME_OVER,189,0,4,100,overlord
-1959657368,Descent2e,4,GAME_OVER,237,0,4,101,overlord
1028564309,Descent2e,4,GAME_OVER,230,0,4,102,overlord
-2065662957,Descent2e,4,GAME_OVER,221,0,4,103,overlord
195829685,Descent2e,4,GAME_OVER,210,2,4,104,hero
-1574897475,Descent2e,4,GAME_OVER,251,0,4,105,overlord
-793287773,Descent2e,5,GAME_OVER,287,0,4,106,overlord
-232930549,Descent2e,4,GAME_OVER,272,0,4,107,overlord
2017869266,Descent2e,4,GAME_OVER,238,0,4,108,overlord
-537696098,Descent2e,3,GAME_OVER,189,0,4,109,hero
-1880652938,Descent2e,4,GAME_OVER,254,0,4,110,overlord
2053930103,Descent2e,4,GAME_OVER,209,0,4,111,overlord
72689065,Descent2e,4,GAME_OVER,217,0,4,112,overlord
1102908747,Descent2e,4,GAME_OVER,185,0,4,113,hero
857470131,Descent2e,5,GAME_OVER,293,0,4,114,overlord
1156667397,Descent2e,3,GAME_OVER,158,1,4,115,hero
1787274215,Descent2e,4,GAME_OVER,197,0,4,116,overlord
-937804275,Descent2e,4,GAME_OVER,245,0,4,117,overlord
2020799224,Descent2e,4,GAME_OVER,208,0,4,118,overlord
-1261148661,Descent2e,5,GAME_OVER,282,0,4,119,overlord
1602351087,Descent2e,3,GAME_OVER,191,3,4,120,hero
176717634,Descent2e,4,GAME_OVER,229,0,4,121,overlord
1664523560,Descent2e,4,GAME_OVER,260,0,4,122,overlord
-2049690953,Descent2e,4,GAME_OVER,231,0,4,123,overlord
316733697,Descent2e,4,GAME_OVER,302,4,4,124,overlord
1917629113,Descent2e,5,GAME_OVER,303,0,4,125,overlord
-2068119258,Descent2e,4,GAME_OVER,272,0,4,126,overlord
571662474,Descent2e,5,GAME_OVER,252,0,4,127,overlord
