GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),Heroes(Hero 2 Archetype),Heroes(Hero 1 Archetype),Heroes(Hero 1 Class),Heroes(Hero 3 Class),Heroes(Hero 2 Class),Heroes(Hero 1),Heroes(Hero 3),Heroes(Hero 3 Archetype),Heroes(Hero 2)
-391485289,Descent2e,0,ABOUT_TO_START,0,0,4,216,"(7,3)","(1,15)",,"(9,6)","(2,16)","(2,15)",,"(4,7)",,"(2,2)","(3,5)","(5,2)","(10,4)",Healer,Warrior,Berserker,Runemaster,Disciple,Syndrael,Widow Tarha,Mage,Avric Albright
760754694,Descent2e,0,ABOUT_TO_START,0,0,4,217,"(7,3)","(1,15)",,"(9,3)","(2,15)","(1,16)",,"(3,5)",,"(3,3)","(5,5)","(2,5)","(8,3)",Scout,Warrior,Berserker,Disciple,Thief,Syndrael,Avric Albright,Healer,Jain Fairwood
-1277080294,Descent2e,0,ABOUT_TO_START,0,0,4,218,"(8,2)","(2,16)",,"(6,4)","(1,15)","(2,15)",,"(5,3)",,"(4,3)","(4,4)","(2,6)","(10,5)",Healer,Scout,Thief,Berserker,Disciple,Jain Fairwood,Syndrael,Warrior,Ashrian
-1578106088,Descent2e,0,ABOUT_TO_START,0,0,4,219,"(10,5)","(2,16)",,"(7,2)","(2,15)","(1,15)",,"(5,3)",,"(3,6)","(4,3)","(3,7)","(6,4)",Mage,Warrior,Berserker,Thief,Runemaster,Grisban the Thirsty,Jain Fairwood,Scout,Widow Tarha
223861731,Descent2e,0,ABOUT_TO_START,0,0,4,220,"(10,6)","(1,15)",,"(9,5)","(2,15)","(1,16)",,"(3,3)",,"(5,5)","(2,3)","(5,4)","(9,3)",Healer,Mage,Runemaster,Berserker,Disciple,Leoric of the Book,Grisban the Thirsty,Warrior,Avric Albright
1602152035,Descent2e,0,ABOUT_TO_START,0,0,4,221,"(10,4)","(1,15)",,"(7,3)","(2,16)","(2,15)",,"(5,2)",,"(5,4)","(4,7)","(4,6)","(9,2)",Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Jain Fairwood,Scout,Grisban the Thirsty
-683947923,Descent2e,0,ABOUT_TO_START,0,0,4,222,"(8,6)","(2,16)",,"(9,2)","(1,16)","(1,15)",,"(5,5)",,"(5,4)","(2,3)","(3,7)","(10,4)",Scout,Mage,Runemaster,Berserker,Thief,Widow Tarha,Grisban the Thirsty,Warrior,Jain Fairwood
138923296,Descent2e,0,ABOUT_TO_START,0,0,4,223,"(9,5)","(2,15)",,"(10,4)","(2,16)","(1,16)",,"(3,5)",,"(5,7)","(2,2)","(3,6)","(6,4)",Warrior,Healer,Disciple,Thief,Berserker,Ashrian,Jain Fairwood,Scout,Syndrael
-1107104144,Descent2e,0,ABOUT_TO_START,0,0,4,224,"(11,6)","(2,15)",,"(7,3)","(1,15)","(2,16)",,"(2,3)",,"(2,5)","(3,4)","(5,3)","(10,4)",Healer,Warrior,Berserker,Thief,Disciple,Grisban the Thirsty,Tomble Burrowell,Scout,Ashrian
916426565,Descent2e,0,ABOUT_TO_START,0,0,4,225,"(7,2)","(1,16)",,"(10,5)","(2,16)","(2,15)",,"(5,5)",,"(5,6)","(4,3)","(4,7)","(11,5)",Healer,Scout,Thief,Berserker,Disciple,Jain Fairwood,Grisban the Thirsty,Warrior,Avric Albright
