GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
-1011630636,Descent2e,4,GAME_OVER,233,0,4,90,0
-355679580,Descent2e,4,GAME_OVER,259,0,4,91,0
-924210011,Descent2e,4,GAME_OVER,247,0,4,92,0
1129905595,Descent2e,4,GAME_OVER,208,0,4,93,0
1708968205,Descent2e,4,GAME_OVER,222,0,4,94,0
1782538645,Descent2e,4,GAME_OVER,218,0,4,95,0
-1354647450,Descent2e,3,GAME_OVER,196,1,4,96,1
33362573,Descent2e,4,GAME_OVER,225,0,4,97,0
254262560,Descent2e,5,GAME_OVER,290,0,4,98,0
-515585900,Descent2e,4,GAME_OVER,224,0,4,99,0
-1944787339,Descent2e,4,GAME_OVER,189,0,4,100,0
-1959657368,Descent2e,4,GAME_OVER,237,0,4,101,0
1028564309,Descent2e,4,GAME_OVER,230,0,4,102,0
-2065662957,Descent2e,4,GAME_OVER,221,0,4,103,0
195829685,Descent2e,4,GAME_OVER,210,2,4,104,1
-1574897475,Descent2e,4,GAME_OVER,251,0,4,105,0
-793287773,Descent2e,5,GAME_OVER,287,0,4,106,0
-232930549,Descent2e,4,GAME_OVER,272,0,4,107,0
2017869266,Descent2e,4,GAME_OVER,238,0,4,108,0
-537696098,Descent2e,3,GAME_OVER,189,0,4,109,1
-1880652938,Descent2e,4,GAME_OVER,254,0,4,110,0
2053930103,Descent2e,4,GAME_OVER,209,0,4,111,0
72689065,Descent2e,4,GAME_OVER,217,0,4,112,0
1102908747,Descent2e,4,GAME_OVER,185,0,4,113,1
857470131,Descent2e,5,GAME_OVER,293,0,4,114,0
1156667397,Descent2e,3,GAME_OVER,158,1,4,115,1
1787274215,Descent2e,4,GAME_OVER,197,0,4,116,0
-937804275,Descent2e,4,GAME_OVER,245,0,4,117,0
2020799224,Descent2e,4,GAME_OVER,208,0,4,118,0
-1261148661,Descent2e,5,GAME_OVER,282,0,4,119,0
1602351087,Descent2e,3,GAME_OVER,191,3,4,120,1
176717634,Descent2e,4,GAME_OVER,229,0,4,121,0
1664523560,Descent2e,4,GAME_OVER,260,0,4,122,0
-2049690953,Descent2e,4,GAME_OVER,231,0,4,123,0
316733697,Descent2e,4,GAME_OVER,302,4,4,124,0
1917629113,Descent2e,5,GAME_OVER,303,0,4,125,0
-2068119258,Descent2e,4,GAME_OVER,272,0,4,126,0
571662474,Descent2e,5,GAME_OVER,252,0,4,127,0
-129834600,Descent2e,4,GAME_OVER,243,0,4,128,0
-367298241,Descent2e,4,GAME_OVER,200,1,4,129,1
1529520095,Descent2e,4,GAME_OVER,252,0,4,130,0
-378145273,Descent2e,4,GAME_OVER,238,0,4,131,0
-137278190,Descent2e,4,GAME_OVER,248,0,4,132,0
-1779590791,Descent2e,3,GAME_OVER,183,3,4,133,1
248032654,Descent2e,3,GAME_OVER,225,2,4,134,1
-2092379481,Descent2e,5,GAME_OVER,281,0,4,135,0
-1905237098,Descent2e,4,GAME_OVER,235,0,4,136,0
313753588,Descent2e,4,GAME_OVER,264,0,4,137,0
1088459323,Descent2e,3,GAME_OVER,217,3,4,138,1
425525007,Descent2e,5,GAME_OVER,282,0,4,139,0
176140337,Descent2e,4,GAME_OVER,224,0,4,140,0
-1657262982,Descent2e,5,GAME_OVER,246,0,4,141,0
487485060,Descent2e,4,GAME_OVER,248,0,4,142,0
937610372,Descent2e,4,GAME_OVER,242,0,4,143,0
289946946,Descent2e,4,GAME_OVER,240,0,4,144,0
-1279975257,Descent2e,5,GAME_OVER,265,0,4,145,0
1443145887,Descent2e,4,GAME_OVER,228,0,4,146,0
1642592158,Descent2e,4,GAME_OVER,222,0,4,147,0
-1257925864,Descent2e,4,GAME_OVER,281,0,4,148,0
-2086788165,Descent2e,4,GAME_OVER,276,0,4,149,0
1454294430,Descent2e,2,GAME_OVER,134,1,4,150,1
-1894694341,Descent2e,4,GAME_OVER,229,0,4,151,0
1110277337,Descent2e,4,GAME_OVER,257,0,4,152,0
105181104,Descent2e,4,GAME_OVER,219,0,4,153,0
1741820661,Descent2e,4,GAME_OVER,242,0,4,154,0
1191131318,Descent2e,5,GAME_OVER,237,0,4,155,0
1450489765,Descent2e,4,GAME_OVER,231,0,4,156,0
-1335747697,Descent2e,4,GAME_OVER,237,0,4,157,0
1297146937,Descent2e,5,GAME_OVER,268,0,4,158,0
-383936935,Descent2e,5,GAME_OVER,293,0,4,159,0
-78843910,Descent2e,4,GAME_OVER,249,0,4,160,0
999413502,Descent2e,4,GAME_OVER,232,0,4,161,0
1698523434,Descent2e,4,GAME_OVER,236,0,4,162,0
-1751122673,Descent2e,4,GAME_OVER,246,0,4,163,0
846901593,Descent2e,4,GAME_OVER,251,0,4,164,0
1520978718,Descent2e,4,GAME_OVER,271,0,4,165,0
1513447411,Descent2e,4,GAME_OVER,249,0,4,166,0
-647629730,Descent2e,3,GAME_OVER,224,2,4,167,1
1546136617,Descent2e,3,GAME_OVER,184,2,4,168,1
866825363,Descent2e,4,GAME_OVER,237,0,4,169,0
1112549295,Descent2e,4,GAME_OVER,255,0,4,170,0
866870163,Descent2e,4,GAME_OVER,229,0,4,171,0
-188484132,Descent2e,4,GAME_OVER,241,0,4,172,0
-1317565725,Descent2e,5,GAME_OVER,274,0,4,173,0
-1870858449,Descent2e,4,GAME_OVER,278,0,4,174,0
151649086,Descent2e,5,GAME_OVER,267,0,4,175,0
-1672927408,Descent2e,4,GAME_OVER,207,0,4,176,0
620316932,Descent2e,5,GAME_OVER,309,0,4,177,0
-1748550662,Descent2e,4,GAME_OVER,234,0,4,178,0
-89964064,Descent2e,3,GAME_OVER,186,1,4,179,1
176192887,Descent2e,4,GAME_OVER,244,0,4,180,0
392473391,Descent2e,3,GAME_OVER,182,1,4,181,1
-757897836,Descent2e,4,GAME_OVER,220,0,4,182,0
-778946589,Descent2e,3,GAME_OVER,197,2,4,183,1
1252024377,Descent2e,3,GAME_OVER,191,0,4,184,1
-2051246598,Descent2e,4,GAME_OVER,240,0,4,185,0
2118557955,Descent2e,4,GAME_OVER,241,0,4,186,0
-985741623,Descent2e,4,GAME_OVER,249,0,4,187,0
1051456408,Descent2e,4,GAME_OVER,243,0,4,188,0
1055005349,Descent2e,5,GAME_OVER,223,0,4,189,0
-286242674,Descent2e,4,GAME_OVER,199,0,4,190,0
1713139624,Descent2e,5,GAME_OVER,291,0,4,191,0
1313838869,Descent2e,4,GAME_OVER,216,0,4,192,0
-1709454157,Descent2e,4,GAME_OVER,257,0,4,193,0
-55309369,Descent2e,4,GAME_OVER,223,0,4,194,0
-553587499,Descent2e,4,GAME_OVER,240,0,4,195,0
939226962,Descent2e,3,GAME_OVER,184,2,4,196,1
-647111492,Descent2e,4,GAME_OVER,262,0,4,197,0
-1113582644,Descent2e,4,GAME_OVER,249,0,4,198,0
-388580641,Descent2e,4,GAME_OVER,253,0,4,199,0
333649400,Descent2e,3,GAME_OVER,176,1,4,200,1
44985473,Descent2e,4,GAME_OVER,226,0,4,201,0
25864137,Descent2e,4,GAME_OVER,241,0,4,202,0
809155775,Descent2e,4,GAME_OVER,227,0,4,203,0
-1315771430,Descent2e,4,GAME_OVER,202,0,4,204,0
-652750784,Descent2e,4,GAME_OVER,193,2,4,205,1
-1438181952,Descent2e,4,GAME_OVER,252,0,4,206,0
-103583923,Descent2e,4,GAME_OVER,244,0,4,207,0
-264533670,Descent2e,5,GAME_OVER,280,0,4,208,0
-2003881654,Descent2e,5,GAME_OVER,324,0,4,209,0
1194976140,Descent2e,4,GAME_OVER,220,0,4,210,0
740515828,Descent2e,4,GAME_OVER,287,0,4,211,0
-1981556469,Descent2e,4,GAME_OVER,269,0,4,212,0
-115718702,Descent2e,4,GAME_OVER,219,0,4,213,0
-1324315614,Descent2e,4,GAME_OVER,234,0,4,214,0
595581609,Descent2e,4,GAME_OVER,246,0,4,215,0
-391485289,Descent2e,4,GAME_OVER,227,0,4,216,0
760754694,Descent2e,4,GAME_OVER,229,0,4,217,0
-1277080294,Descent2e,4,GAME_OVER,268,0,4,218,0
-1578106088,Descent2e,4,GAME_OVER,228,0,4,219,0
223861731,Descent2e,4,GAME_OVER,239,0,4,220,0
1602152035,Descent2e,4,GAME_OVER,274,0,4,221,0
-683947923,Descent2e,3,GAME_OVER,206,1,4,222,1
138923296,Descent2e,4,GAME_OVER,259,0,4,223,0
-1107104144,Descent2e,4,GAME_OVER,191,0,4,224,1
916426565,Descent2e,4,GAME_OVER,228,0,4,225,0
-1124368768,Descent2e,4,GAME_OVER,229,0,4,226,0
-1021998975,Descent2e,4,GAME_OVER,205,0,4,227,1
883468036,Descent2e,4,GAME_OVER,216,0,4,228,0
-1358304835,Descent2e,5,GAME_OVER,293,0,4,229,0
1564042337,Descent2e,4,GAME_OVER,260,0,4,230,0
1546646484,Descent2e,5,GAME_OVER,230,0,4,231,0
1319215497,Descent2e,4,GAME_OVER,195,0,4,232,0
-2049994330,Descent2e,4,GAME_OVER,274,0,4,233,0
399120975,Descent2e,5,GAME_OVER,301,0,4,234,0
203295418,Descent2e,4,GAME_OVER,247,0,4,235,0
-385379532,Descent2e,4,GAME_OVER,250,0,4,236,0
-840590086,Descent2e,4,GAME_OVER,213,0,4,237,0
1854572159,Descent2e,4,GAME_OVER,246,0,4,238,0
-2072968360,Descent2e,5,GAME_OVER,286,0,4,239,0
564948201,Descent2e,4,GAME_OVER,234,0,4,240,0
242489441,Descent2e,4,GAME_OVER,208,0,4,241,0
-2020288483,Descent2e,4,GAME_OVER,208,0,4,242,0
1086074626,Descent2e,4,GAME_OVER,227,0,4,243,0
-1032405027,Descent2e,4,GAME_OVER,231,0,4,244,0
-87541493,Descent2e,4,GAME_OVER,258,0,4,245,0
-543934832,Descent2e,4,GAME_OVER,232,0,4,246,0
777892406,Descent2e,4,GAME_OVER,215,0,4,247,0
873285756,Descent2e,4,GAME_OVER,225,0,4,248,0
-1504225346,Descent2e,3,GAME_OVER,191,2,4,249,1
-351428350,Descent2e,4,GAME_OVER,220,0,4,250,0
1460029387,Descent2e,4,GAME_OVER,244,0,4,251,0
519422861,Descent2e,4,GAME_OVER,234,0,4,252,0
-2020734670,Descent2e,4,GAME_OVER,234,0,4,253,0
-1646738913,Descent2e,4,GAME_OVER,269,0,4,254,0
1310557033,Descent2e,4,GAME_OVER,253,0,4,255,0
-303468140,Descent2e,4,GAME_OVER,225,0,4,256,0
-1140332644,Descent2e,4,GAME_OVER,246,0,4,257,0
-1033126884,Descent2e,5,GAME_OVER,262,0,4,258,0
16992059,Descent2e,4,GAME_OVER,246,0,4,259,0
-479990665,Descent2e,5,GAME_OVER,287,0,4,260,0
-1249779320,Descent2e,4,GAME_OVER,272,0,4,261,0
-750178054,Descent2e,4,GAME_OVER,254,0,4,262,0
-1123655453,Descent2e,4,GAME_OVER,207,0,4,263,0
2107061092,Descent2e,4,GAME_OVER,240,0,4,264,0
-1180556821,Descent2e,4,GAME_OVER,238,0,4,265,0
1209010955,Descent2e,4,GAME_OVER,235,0,4,266,0
2129887662,Descent2e,4,GAME_OVER,236,0,4,267,0
-1321594639,Descent2e,4,GAME_OVER,243,0,4,268,0
-1127357064,Descent2e,3,GAME_OVER,179,1,4,269,1
1637927349,Descent2e,4,GAME_OVER,238,0,4,270,0
513738248,Descent2e,4,GAME_OVER,198,0,4,271,0
-1286324348,Descent2e,4,GAME_OVER,227,0,4,272,0
-84487886,Descent2e,4,GAME_OVER,250,0,4,273,0
-574335371,Descent2e,4,GAME_OVER,249,0,4,274,0
-2013315022,Descent2e,4,GAME_OVER,213,0,4,275,0
-562171916,Descent2e,3,GAME_OVER,183,2,4,276,1
-36790718,Descent2e,3,GAME_OVER,184,0,4,277,1
1190962726,Descent2e,4,GAME_OVER,236,0,4,278,0
-896255439,Descent2e,4,GAME_OVER,236,0,4,279,0
-549546384,Descent2e,4,GAME_OVER,240,0,4,280,0
1198075658,Descent2e,4,GAME_OVER,233,0,4,281,0
15182467,Descent2e,4,GAME_OVER,251,0,4,282,0
1647649545,Descent2e,3,GAME_OVER,174,0,4,283,1
126951839,Descent2e,4,GAME_OVER,240,0,4,284,0
-1203609223,Descent2e,4,GAME_OVER,231,0,4,285,0
-1323214870,Descent2e,3,GAME_OVER,202,0,4,286,1
959109931,Descent2e,4,GAME_OVER,228,0,4,287,0
559022089,Descent2e,4,GAME_OVER,224,0,4,288,0
-1323421024,Descent2e,4,GAME_OVER,251,0,4,289,0
806994786,Descent2e,5,GAME_OVER,287,0,4,290,0
-1241361365,Descent2e,4,GAME_OVER,234,0,4,291,0
-1531078731,Descent2e,4,GAME_OVER,246,0,4,292,0
1770981253,Descent2e,4,GAME_OVER,262,0,4,293,0
18914527,Descent2e,4,GAME_OVER,253,0,4,294,0
-688343115,Descent2e,4,GAME_OVER,249,0,4,295,0
292295698,Descent2e,4,GAME_OVER,184,0,4,296,0
-1806225609,Descent2e,4,GAME_OVER,249,0,4,297,0
758614468,Descent2e,4,GAME_OVER,256,0,4,298,0
1150192065,Descent2e,4,GAME_OVER,225,0,4,299,0
-1482576358,Descent2e,4,GAME_OVER,245,0,4,300,0
546828834,Descent2e,4,GAME_OVER,232,0,4,301,0
-984538200,Descent2e,4,GAME_OVER,236,0,4,302,0
871250437,Descent2e,4,GAME_OVER,219,0,4,303,1
-1550265676,Descent2e,2,GAME_OVER,152,2,4,304,1
856801956,Descent2e,4,GAME_OVER,249,0,4,305,0
-826630308,Descent2e,4,GAME_OVER,198,0,4,306,0
1806031019,Descent2e,4,GAME_OVER,243,0,4,307,0
-958543015,Descent2e,4,GAME_OVER,243,0,4,308,0
-1428266273,Descent2e,4,GAME_OVER,191,0,4,309,0
-1144365011,Descent2e,4,GAME_OVER,234,0,4,310,0
955966020,Descent2e,4,GAME_OVER,218,0,4,311,0
-1289106182,Descent2e,4,GAME_OVER,265,0,4,312,0
306648016,Descent2e,4,GAME_OVER,210,0,4,313,0
600701797,Descent2e,5,GAME_OVER,326,0,4,314,0
1293571835,Descent2e,4,GAME_OVER,232,0,4,315,0
-928673503,Descent2e,4,GAME_OVER,252,0,4,316,0
2078679456,Descent2e,4,GAME_OVER,243,0,4,317,0
1138126872,Descent2e,4,GAME_OVER,250,0,4,318,0
1859555597,Descent2e,4,GAME_OVER,226,0,4,319,0
-1386619562,Descent2e,4,GAME_OVER,241,0,4,320,0
-815505094,Descent2e,4,GAME_OVER,245,0,4,321,0
111777564,Descent2e,4,GAME_OVER,235,0,4,322,0
-2100851080,Descent2e,4,GAME_OVER,224,0,4,323,0
-820601661,Descent2e,4,GAME_OVER,218,0,4,324,0
-1793559779,Descent2e,4,GAME_OVER,196,1,4,325,1
1091309400,Descent2e,4,GAME_OVER,259,0,4,326,0
1740218866,Descent2e,4,GAME_OVER,284,0,4,327,0
1786736666,Descent2e,3,GAME_OVER,182,2,4,328,1
-1646862478,Descent2e,5,GAME_OVER,314,0,4,329,0
1493641793,Descent2e,5,GAME_OVER,283,0,4,330,0
-2086551780,Descent2e,4,GAME_OVER,224,0,4,331,0
1668732854,Descent2e,4,GAME_OVER,233,0,4,332,0
-2120261791,Descent2e,4,GAME_OVER,209,0,4,333,0
1459788962,Descent2e,4,GAME_OVER,219,0,4,334,0
219010551,Descent2e,4,GAME_OVER,199,1,4,335,1
1661950976,Descent2e,4,GAME_OVER,197,0,4,336,0
-37427297,Descent2e,4,GAME_OVER,255,0,4,337,0
247592859,Descent2e,4,GAME_OVER,256,0,4,338,0
1098576278,Descent2e,5,GAME_OVER,221,0,4,339,0
-1078175724,Descent2e,5,GAME_OVER,266,0,4,340,0
-1359787957,Descent2e,3,GAME_OVER,181,3,4,341,1
-1865273877,Descent2e,4,GAME_OVER,260,0,4,342,0
-379449835,Descent2e,4,GAME_OVER,241,0,4,343,0
334645923,Descent2e,4,GAME_OVER,221,0,4,344,0
-2041678342,Descent2e,4,GAME_OVER,220,2,4,345,1
-621565583,Descent2e,4,GAME_OVER,237,0,4,346,0
308795849,Descent2e,4,GAME_OVER,246,0,4,347,0
-1610559206,Descent2e,4,GAME_OVER,266,0,4,348,0
135581712,Descent2e,5,GAME_OVER,290,4,4,349,0
-70142737,Descent2e,4,GAME_OVER,193,0,4,350,0
-2044013128,Descent2e,5,GAME_OVER,278,0,4,351,0
-1813073661,Descent2e,5,GAME_OVER,325,0,4,352,0
-823199663,Descent2e,4,GAME_OVER,235,0,4,353,1
-870302191,Descent2e,4,GAME_OVER,237,0,4,354,0
-1410430645,Descent2e,4,GAME_OVER,240,0,4,355,0
-1211984980,Descent2e,5,GAME_OVER,275,0,4,356,0
-1095954505,Descent2e,4,GAME_OVER,234,0,4,357,0
2034578350,Descent2e,4,GAME_OVER,218,0,4,358,0
-1676034750,Descent2e,4,GAME_OVER,242,0,4,359,0
304699397,Descent2e,4,GAME_OVER,219,0,4,360,1
-1663406971,Descent2e,4,GAME_OVER,249,0,4,361,0
1682113612,Descent2e,4,GAME_OVER,236,0,4,362,0
-781651481,Descent2e,4,GAME_OVER,251,0,4,363,0
-1055580466,Descent2e,4,GAME_OVER,237,0,4,364,0
-1701962341,Descent2e,4,GAME_OVER,229,0,4,365,0
250478825,Descent2e,4,GAME_OVER,224,0,4,366,0
605389958,Descent2e,3,GAME_OVER,171,1,4,367,1
872314097,Descent2e,4,GAME_OVER,265,0,4,368,0
2054147852,Descent2e,4,GAME_OVER,235,0,4,369,0
-1043421192,Descent2e,4,GAME_OVER,230,0,4,370,0
1514485788,Descent2e,4,GAME_OVER,240,0,4,371,0
-31244244,Descent2e,5,GAME_OVER,278,0,4,372,0
