GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-3,Player-2,PlayerName-1,PlayerName-2,PlayerName-3
-2106311596,Descent2e,5,GAME_OVER,239,0,4,2,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-434876880,Descent2e,4,GAME_OVER,255,0,4,3,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-1531226042,Descent2e,4,GAME_OVER,232,0,4,4,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1472162448,Descent2e,4,GAME_OVER,185,0,4,5,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
1098128611,Descent2e,4,GAME_OVER,249,0,4,6,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
726075031,Descent2e,4,GAME_OVER,189,0,4,7,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1949019889,Descent2e,4,GAME_OVER,187,0,4,8,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-868400014,Descent2e,4,GAME_OVER,245,0,4,9,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1658705723,Descent2e,4,GAME_OVER,232,0,4,10,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1459022739,Descent2e,4,GAME_OVER,252,0,4,11,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
686380075,Descent2e,4,GAME_OVER,240,0,4,12,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1832735679,Descent2e,4,GAME_OVER,208,0,4,13,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-170836685,Descent2e,4,GAME_OVER,218,0,4,14,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
192253389,Descent2e,4,GAME_OVER,263,0,4,15,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1288883639,Descent2e,4,GAME_OVER,244,0,4,16,OSLA,-16.666666666666668,16.666666666666668,-16.666666666666668,-16.666666666666668,OSLA,OSLA,OSLA
495210545,Descent2e,5,GAME_OVER,239,0,4,17,OSLA,-13.333333333333334,13.333333333333334,-13.333333333333334,-13.333333333333334,OSLA,OSLA,OSLA
623067577,Descent2e,5,GAME_OVER,223,0,4,18,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
1348299175,Descent2e,4,GAME_OVER,250,0,4,19,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-371345131,Descent2e,4,GAME_OVER,247,0,4,20,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1431328153,Descent2e,4,GAME_OVER,226,0,4,21,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-538768873,Descent2e,4,GAME_OVER,214,0,4,22,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-131927630,Descent2e,4,GAME_OVER,237,0,4,23,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
