GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter(RoundCounter),Kills(Barghest Minion 1),Kills(Hero 1),Kills(Barghest Minion 3),Kills(Barghest Minion 2),Kills(Hero 3),Kills(Hero 2),Kills(Hero 4),Kills(Goblin Minion 3),Kills(Goblin Minion 4),Kills(Goblin Minion 1),Kills(Goblin Minion 2),Kills(Goblin Master),Kills(Barghest Master),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3)
-1531226042,Descent2e,2,ROUND_OVER,199,9,4,4,,,,,,,,,,,,,,Barghest master (266153) defeated by Jain Fairwood (266074),"(9,3)","(7,5)",,"(8,2)","(6,2)","(7,3)",,"(4,14)",,"(5,14)","(5,15)","(6,14)",Dead,8,4,5,2,2,10,,2,,10,6,6,,Dead,0.4761904761904763,OSLA,-0.23809523809523814,-0.11904761904761907,0.23809523809523814,-0.23809523809523814,-0.23809523809523814,OSLA,OSLA,OSLA
-1531226042,Descent2e,3,ROUND_OVER,230,9,4,4,,,,,,,,,,,,,,,"(9,3)","(8,4)",,"(8,2)","(9,5)","(7,3)",,"(4,14)",,"(5,14)","(5,15)","(6,14)",Dead,5,4,7,2,2,10,,2,,7,3,6,,Dead,3.333333333333333,OSLA,-1.6666666666666665,-0.8333333333333333,1.6666666666666665,-1.6666666666666665,-1.6666666666666665,OSLA,OSLA,OSLA
1472162448,Descent2e,0,ROUND_OVER,85,10,4,5,,,,,,,,,,,,,,,"(10,5)","(5,6)",,"(6,5)","(6,3)","(5,4)",,"(5,12)",,"(4,10)","(3,7)","(5,9)","(7,2)",5,4,0,2,2,8,,2,,8,3,6,,8,0.0,OSLA,0.0,0.0,0.0,0.0,0.0,OSLA,OSLA,OSLA
1472162448,Descent2e,1,ROUND_OVER,125,9,4,5,,,,,Barghest minion 2 (388906) defeated by Grisban the Thirsty (388808),,,,,,,,,,"(10,5)","(5,6)",,Dead,"(6,3)","(6,2)",,"(3,14)",,"(5,14)","(4,12)","(4,14)","(7,2)",2,4,1,2,2,6,,2,,8,Dead,6,,6,0.0,OSLA,2.619047619047619,1.3095238095238095,-2.619047619047619,2.619047619047619,2.619047619047619,OSLA,OSLA,OSLA
1472162448,Descent2e,2,ROUND_OVER,152,8,4,5,,,,,,,,,,,,,,Barghest master (388886) defeated by Leoric of the Book (388835),"(10,5)","(5,4)",,Dead,"(8,3)","(6,2)",,"(3,14)",,"(5,14)","(6,14)","(4,14)",Dead,2,4,3,2,2,6,,2,,8,Dead,6,,Dead,0.0,OSLA,4.523809523809524,2.261904761904762,-4.523809523809524,4.523809523809524,4.523809523809524,OSLA,OSLA,OSLA
1472162448,Descent2e,3,ROUND_OVER,183,8,4,5,,,,,,,,,,,,,,,"(10,5)","(9,5)",,Dead,"(11,5)","(10,3)",,"(3,14)",,"(5,14)","(6,14)","(4,14)",Dead,1,4,5,2,2,6,,2,,8,Dead,4,,Dead,0.0,OSLA,3.0952380952380953,1.5476190476190477,-3.0952380952380953,3.0952380952380953,3.0952380952380953,OSLA,OSLA,OSLA
1098128611,Descent2e,0,ROUND_OVER,107,10,4,6,,Barghest minion 1 (388896) defeated by Grisban the Thirsty (388808),,,,,,,,,,,,,"(9,4)","(6,4)",,"(8,6)","(6,5)","(5,6)",,"(3,14)",,"(4,7)","(5,12)","(4,14)","(10,5)",8,1,1,2,2,12,,2,,14,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
1098128611,Descent2e,1,ROUND_OVER,160,10,4,6,,,,,,,,,,,,,,,"(7,2)","(6,4)",,"(8,6)","(6,6)","(7,7)",,"(3,14)",,"(3,17)","(4,15)","(4,14)","(10,5)",8,1,3,2,2,12,,2,,14,3,2,,8,4.285714285714286,OSLA,-2.142857142857143,-1.0714285714285714,2.142857142857143,-2.142857142857143,-2.142857142857143,OSLA,OSLA,OSLA
1098128611,Descent2e,2,ROUND_OVER,208,10,4,6,,,,,,,,,,,,,,,"(7,2)","(6,4)",,"(8,6)","(7,7)","(7,5)",,"(3,14)",,"(3,17)","(4,15)","(4,14)","(10,5)",8,1,5,2,2,12,,2,,14,3,2,,8,7.142857142857143,OSLA,-3.5714285714285716,-1.7857142857142858,3.5714285714285716,-3.5714285714285716,-3.5714285714285716,OSLA,OSLA,OSLA
1098128611,Descent2e,3,ROUND_OVER,248,9,4,6,,Barghest minion 1 (488612) defeated by Jain Fairwood (488523),,,,,,,,,,,,,"(8,6)","(9,3)",,Dead,"(7,7)","(9,5)",,"(3,14)",,"(3,17)","(4,15)","(4,14)","(10,5)",8,1,7,2,2,12,,2,,13,Dead,3,,8,3.333333333333333,OSLA,-1.6666666666666665,-0.8333333333333333,1.6666666666666665,-1.6666666666666665,-1.6666666666666665,OSLA,OSLA,OSLA
726075031,Descent2e,0,ROUND_OVER,103,10,4,7,,,,,,,,,,,,,,,"(10,6)","(9,7)",,"(10,3)","(8,8)","(9,8)",,"(3,14)",,"(5,11)","(4,13)","(5,16)","(7,2)",7,4,1,2,2,10,,2,,8,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
726075031,Descent2e,1,ROUND_OVER,137,9,4,7,,Barghest minion 1 (615627) defeated by Tomble Burrowell (615552),,,,,,,,,,,,,"(10,3)","(9,7)",,Dead,"(9,4)","(11,4)",,"(3,14)",,"(4,14)","(4,15)","(5,16)","(7,2)",7,4,3,2,2,10,,2,,5,Dead,6,,8,0.0,OSLA,1.1904761904761907,0.5952380952380953,-1.1904761904761907,1.1904761904761907,1.1904761904761907,OSLA,OSLA,OSLA
726075031,Descent2e,2,ROUND_OVER,164,8,4,7,,Barghest minion 1 (615637) defeated by Tomble Burrowell (615552),,,,,,,,,,,,,Dead,"(9,3)",,Dead,"(8,4)","(11,4)",,"(3,14)",,"(4,14)","(4,15)","(5,16)","(7,2)",7,4,5,2,2,10,,2,,5,Dead,Dead,,6,0.0,OSLA,3.0952380952380953,1.5476190476190477,-3.0952380952380953,3.0952380952380953,3.0952380952380953,OSLA,OSLA,OSLA
726075031,Descent2e,3,ROUND_OVER,187,8,4,7,,,,,,,,,,,,,,,Dead,"(8,2)",,Dead,"(5,4)","(7,4)",,"(3,14)",,"(4,14)","(4,15)","(5,16)","(7,2)",7,4,7,2,2,10,,2,,5,Dead,Dead,,6,0.0,OSLA,1.666666666666667,0.8333333333333335,-1.666666666666667,1.666666666666667,1.666666666666667,OSLA,OSLA,OSLA
1949019889,Descent2e,0,ROUND_OVER,114,10,4,8,,,,,,,Tomble Burrowell (718622) defeated by Barghest minion 2 (718694),,,,,,,,"(10,6)","(9,7)",,"(9,4)","(9,5)","(9,8)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)",12,4,1,2,2,0,,2,,10,6,6,,8,4.761904761904762,OSLA,-2.380952380952381,-1.1904761904761905,2.380952380952381,-2.380952380952381,-2.380952380952381,OSLA,OSLA,OSLA
1949019889,Descent2e,1,ROUND_OVER,135,9,4,8,,Barghest minion 1 (718684) defeated by Tomble Burrowell (718622),,,,,,,,,,,,,"(9,4)","(9,7)",,Dead,"(11,6)","(10,5)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)",12,4,3,2,2,5,,2,,3,Dead,6,,8,0.0,OSLA,1.1904761904761907,0.5952380952380953,-1.1904761904761907,1.1904761904761907,1.1904761904761907,OSLA,OSLA,OSLA
1949019889,Descent2e,2,ROUND_OVER,161,9,4,8,,,Widow Tarha (718609) defeated by Barghest master (718674),,,,,,,,,,,,"(9,4)","(8,4)",,Dead,"(9,5)","(10,5)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)",11,4,5,2,2,5,,2,,0,Dead,2,,8,3.8095238095238093,OSLA,-1.9047619047619047,-0.9523809523809523,1.9047619047619047,-1.9047619047619047,-1.9047619047619047,OSLA,OSLA,OSLA
1949019889,Descent2e,3,ROUND_OVER,186,8,4,8,,Barghest minion 1 (718694) defeated by Syndrael (718596),,,,,,,,,,,,,Dead,"(8,4)",,Dead,"(9,2)","(10,5)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)",11,4,7,2,2,5,,2,,1,Dead,Dead,,8,0.0,OSLA,1.666666666666667,0.8333333333333335,-1.666666666666667,1.666666666666667,1.666666666666667,OSLA,OSLA,OSLA
-868400014,Descent2e,0,ROUND_OVER,119,10,4,9,,,,,,,,,,,,,,,"(9,6)","(5,4)",,"(6,4)","(7,3)","(4,6)",,"(4,15)",,"(4,14)","(5,12)","(5,16)","(11,6)",12,4,1,2,2,8,,2,,10,4,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
-868400014,Descent2e,1,ROUND_OVER,160,9,4,9,,,,,Barghest minion 2 (818102) defeated by Widow Tarha (818017),,,,,,,,,,"(9,6)","(5,3)",,Dead,"(10,4)","(4,6)",,"(4,15)",,"(4,14)","(4,17)","(5,16)","(11,6)",12,4,3,2,2,8,,2,,10,Dead,6,,8,0.0,OSLA,1.1904761904761907,0.5952380952380953,-1.1904761904761907,1.1904761904761907,1.1904761904761907,OSLA,OSLA,OSLA
-868400014,Descent2e,2,ROUND_OVER,205,9,4,9,,,,,,,,,,,,,,,"(9,6)","(8,6)",,Dead,"(10,5)","(9,4)",,"(4,15)",,"(4,14)","(4,17)","(5,16)","(11,6)",12,4,5,2,2,8,,2,,10,Dead,6,,8,0.4761904761904763,OSLA,-0.23809523809523814,-0.11904761904761907,0.23809523809523814,-0.23809523809523814,-0.23809523809523814,OSLA,OSLA,OSLA
-868400014,Descent2e,3,ROUND_OVER,244,9,4,9,,,,,,,,,,,,,,,"(9,6)","(8,6)",,Dead,"(10,6)","(9,5)",,"(4,15)",,"(4,14)","(4,17)","(5,16)","(11,6)",12,4,7,2,2,8,,2,,10,Dead,4,,8,3.333333333333333,OSLA,-1.6666666666666665,-0.8333333333333333,1.6666666666666665,-1.6666666666666665,-1.6666666666666665,OSLA,OSLA,OSLA
1658705723,Descent2e,0,ROUND_OVER,88,10,4,10,,,,,,,,,,,,,,,"(11,6)","(4,10)",,"(7,4)","(1,16)","(5,6)",,"(5,17)",,"(4,16)","(4,12)","(3,15)","(10,6)",12,4,1,2,2,8,,2,,14,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
1658705723,Descent2e,1,ROUND_OVER,144,10,4,10,,,,,,,,,,,,,,,"(11,6)","(6,3)",,"(7,4)","(1,16)","(6,5)",,"(5,17)",,"(4,16)","(3,16)","(3,15)","(10,6)",10,4,3,2,2,5,,2,,14,3,6,,8,4.285714285714286,OSLA,-2.142857142857143,-1.0714285714285714,2.142857142857143,-2.142857142857143,-2.142857142857143,OSLA,OSLA,OSLA
1658705723,Descent2e,2,ROUND_OVER,186,10,4,10,,,,,,,,,,,,,,,"(11,6)","(6,4)",,"(7,4)","(1,16)","(6,3)",,"(5,17)",,"(4,16)","(3,16)","(3,15)","(10,6)",12,4,5,2,2,4,,2,,14,3,6,,8,7.142857142857143,OSLA,-3.5714285714285716,-1.7857142857142858,3.5714285714285716,-3.5714285714285716,-3.5714285714285716,OSLA,OSLA,OSLA
1658705723,Descent2e,3,ROUND_OVER,231,10,4,10,,,,,,,,,,,,,,,"(11,6)","(6,5)",,"(7,4)","(1,16)","(6,4)",,"(5,17)",,"(4,16)","(3,16)","(3,15)","(10,6)",7,4,7,2,2,3,,2,,14,3,6,,8,10.0,OSLA,-5.0,-2.5,5.0,-5.0,-5.0,OSLA,OSLA,OSLA
-1459022739,Descent2e,0,ROUND_OVER,123,10,4,11,,,,,,,,,,,,,,,"(6,3)","(8,7)",,"(11,4)","(10,7)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)",8,4,1,2,2,8,,2,,8,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
-1459022739,Descent2e,1,ROUND_OVER,158,10,4,11,,,,,,,,,,,,,,,"(6,3)","(8,6)",,"(11,4)","(11,6)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)",8,4,3,2,2,8,,2,,9,6,6,,8,4.285714285714286,OSLA,-2.142857142857143,-1.0714285714285714,2.142857142857143,-2.142857142857143,-2.142857142857143,OSLA,OSLA,OSLA
-1459022739,Descent2e,2,ROUND_OVER,206,10,4,11,,,,,,,,,,,,,,,"(6,3)","(8,6)",,"(11,4)","(11,7)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)",8,4,5,2,2,8,,2,,5,6,5,,8,7.142857142857143,OSLA,-3.5714285714285716,-1.7857142857142858,3.5714285714285716,-3.5714285714285716,-3.5714285714285716,OSLA,OSLA,OSLA
-1459022739,Descent2e,3,ROUND_OVER,251,10,4,11,,,,,,,,,,,,,,,"(6,3)","(8,6)",,"(11,4)","(10,6)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)",8,4,7,2,2,4,,2,,1,6,4,,8,10.0,OSLA,-5.0,-2.5,5.0,-5.0,-5.0,OSLA,OSLA,OSLA
686380075,Descent2e,0,ROUND_OVER,97,9,4,12,,,,,,,,,Goblin Archer minion 3 (1177916) defeated by Jain Fairwood (1177847),,,,,,"(9,5)","(8,3)",,"(9,2)","(8,6)","(5,6)",,"(7,2)",,"(4,7)","(5,10)","(4,15)","(10,4)",5,4,1,2,2,5,,2,,13,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
686380075,Descent2e,1,ROUND_OVER,142,10,4,12,,,,,,,,,,,,,,,"(9,5)","(8,3)",,"(9,2)","(8,6)","(9,4)",,"(10,7)",,"(4,12)","(6,14)","(4,15)","(8,8)",1,4,3,2,2,5,,2,,10,4,4,,8,4.285714285714286,OSLA,-2.142857142857143,-1.0714285714285714,2.142857142857143,-2.142857142857143,-2.142857142857143,OSLA,OSLA,OSLA
686380075,Descent2e,2,ROUND_OVER,200,10,4,12,,,Jain Fairwood (1177847) defeated by Barghest minion 1 (1177936),,,,,,,,,,,,"(9,5)","(8,4)",,"(9,2)","(8,6)","(8,3)",,"(4,16)",,"(5,17)","(6,14)","(4,15)","(8,8)",0,4,5,2,2,7,,2,,10,3,4,,8,10.476190476190476,OSLA,-5.238095238095238,-2.619047619047619,5.238095238095238,-5.238095238095238,-5.238095238095238,OSLA,OSLA,OSLA
686380075,Descent2e,3,ROUND_OVER,238,10,4,12,,,,,,,,,,,,,,,"(9,5)","(8,4)",,"(11,4)","(7,7)","(8,2)",,"(4,16)",,"(5,17)","(6,14)","(4,15)","(8,8)",3,4,7,2,2,9,,2,,10,3,4,,8,10.0,OSLA,-5.0,-2.5,5.0,-5.0,-5.0,OSLA,OSLA,OSLA
-1832735679,Descent2e,0,ROUND_OVER,97,10,4,13,,,,,,,,,,,,,,,"(6,4)","(5,5)",,"(11,4)","(5,6)","(4,6)",,"(6,15)",,"(5,13)","(3,15)","(5,12)","(8,2)",8,4,1,2,2,14,,2,,12,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
-1832735679,Descent2e,1,ROUND_OVER,130,9,4,13,,Barghest minion 1 (1302801) defeated by Grisban the Thirsty (1302740),,,,,,,,,,,,,"(11,4)","(5,5)",,Dead,"(7,3)","(5,4)",,"(6,15)",,"(6,17)","(3,15)","(3,16)","(8,2)",8,4,3,2,2,14,,2,,12,Dead,6,,8,0.0,OSLA,1.1904761904761907,0.5952380952380953,-1.1904761904761907,1.1904761904761907,1.1904761904761907,OSLA,OSLA,OSLA
-1832735679,Descent2e,2,ROUND_OVER,164,9,4,13,,,,,,,,,,,,,,,"(11,4)","(8,4)",,Dead,"(9,3)","(7,2)",,"(6,15)",,"(6,17)","(3,15)","(3,16)","(8,2)",8,4,5,2,2,10,,2,,12,Dead,6,,8,0.4761904761904763,OSLA,-0.23809523809523814,-0.11904761904761907,0.23809523809523814,-0.23809523809523814,-0.23809523809523814,OSLA,OSLA,OSLA
-1832735679,Descent2e,3,ROUND_OVER,207,9,4,13,,,,,,,,,,,,,,,"(11,4)","(9,4)",,Dead,"(9,3)","(7,3)",,"(6,15)",,"(6,17)","(3,15)","(3,16)","(8,2)",8,4,7,2,2,12,,2,,12,Dead,6,,8,3.333333333333333,OSLA,-1.6666666666666665,-0.8333333333333333,1.6666666666666665,-1.6666666666666665,-1.6666666666666665,OSLA,OSLA,OSLA
-170836685,Descent2e,0,ROUND_OVER,89,9,4,14,,,,,,,,,Goblin Archer minion 3 (1411813) defeated by Jain Fairwood (1411744),,,,,,"(10,4)","(4,6)",,"(11,6)","(5,7)","(4,7)",,"(7,3)",,"(5,6)","(5,12)","(4,14)","(6,5)",8,4,1,2,2,14,,2,,10,6,6,,6,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
-170836685,Descent2e,1,ROUND_OVER,127,9,4,14,,,,,,,,,,,Goblin Archer minion 1 (1411793) defeated by Grisban the Thirsty (1411772),,,,"(10,4)","(4,4)",,"(11,6)","(5,6)","(4,6)",,"(7,3)",,"(5,15)","(4,12)","(4,14)","(6,5)",8,4,3,2,2,9,,2,,12,6,6,,6,4.285714285714286,OSLA,-2.142857142857143,-1.0714285714285714,2.142857142857143,-2.142857142857143,-2.142857142857143,OSLA,OSLA,OSLA
-170836685,Descent2e,2,ROUND_OVER,167,9,4,14,,,,,,,,,Goblin Archer minion 3 (1484126) defeated by Grisban the Thirsty (1411772),,,,,,"(10,4)","(5,4)",,"(11,6)","(6,4)","(5,5)",,"(7,3)",,"(5,15)","(3,17)","(4,14)","(6,5)",8,4,5,2,2,5,,2,,12,6,6,,3,7.142857142857143,OSLA,-3.5714285714285716,-1.7857142857142858,3.5714285714285716,-3.5714285714285716,-3.5714285714285716,OSLA,OSLA,OSLA
-170836685,Descent2e,3,ROUND_OVER,217,9,4,14,,,,,,,,,,,,,,Barghest master (1411823) defeated by Jain Fairwood (1411744),"(10,4)","(7,4)",,"(11,6)","(10,6)","(10,3)",,"(5,13)",,"(5,15)","(3,17)","(4,14)",Dead,8,4,7,2,2,7,,2,,8,6,6,,Dead,3.333333333333333,OSLA,-1.6666666666666665,-0.8333333333333333,1.6666666666666665,-1.6666666666666665,-1.6666666666666665,OSLA,OSLA,OSLA
192253389,Descent2e,0,ROUND_OVER,105,10,4,15,,,,,,,,,,,,,,,"(6,5)","(4,7)",,"(8,6)","(2,15)","(7,4)",,"(6,14)",,"(5,13)","(6,15)","(4,15)","(8,3)",10,4,1,2,2,10,,2,,9,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
192253389,Descent2e,1,ROUND_OVER,158,10,4,15,,,,,,,,,,,,,,,"(6,5)","(6,4)",,"(8,6)","(2,15)","(7,5)",,"(6,14)",,"(4,16)","(6,15)","(4,15)","(8,3)",10,2,3,2,2,4,,2,,9,6,6,,8,4.285714285714286,OSLA,-2.142857142857143,-1.0714285714285714,2.142857142857143,-2.142857142857143,-2.142857142857143,OSLA,OSLA,OSLA
192253389,Descent2e,2,ROUND_OVER,207,9,4,15,,,,,,,,,,,,,Goblin Archer master (1541287) defeated by Widow Tarha (1541276),,"(6,5)","(5,4)",,"(8,6)","(2,15)","(7,4)",,"(6,14)",,"(4,16)","(6,15)","(6,3)","(8,3)",10,4,5,2,2,2,,2,,5,6,6,,8,7.142857142857143,OSLA,-3.5714285714285716,-1.7857142857142858,3.5714285714285716,-3.5714285714285716,-3.5714285714285716,OSLA,OSLA,OSLA
