GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
1553932502,SushiGo,3,GAME_OVER,82,0,3,2,2,Basic MCTS,2,1,1,3,RandomPlayer,3,RMHC,Basic MCTS,31.0,39.0,30.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
-2090749135,SushiGo,3,GAME_OVER,85,0,3,3,2,Basic MCTS,2,1,1,3,RandomPlayer,3,RMHC,Basic MCTS,38.0,54.0,22.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
-287790814,SushiGo,3,GAME_OVER,85,0,3,4,3,Basic MCTS,3,1,1,2,RandomPlayer,2,RMHC,Basic MCTS,30.0,71.0,38.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
-355989640,SushiGo,3,GAME_OVER,84,0,3,5,2,Basic MCTS,2,1,1,3,RandomPlayer,3,RMHC,Basic MCTS,34.0,54.0,25.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
1553932502,SushiGo,3,GAME_OVER,85,0,3,6,3,Basic MCTS,3,1,1,2,RandomPlayer,2,OSLA,Basic MCTS,30.0,40.0,31.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
-2090749135,SushiGo,3,GAME_OVER,85,0,3,7,3,Basic MCTS,3,1,1,2,RandomPlayer,2,OSLA,Basic MCTS,29.0,55.0,38.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
-287790814,SushiGo,3,GAME_OVER,85,0,3,8,3,Basic MCTS,3,1,1,2,RandomPlayer,2,OSLA,Basic MCTS,29.0,60.0,38.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
-355989640,SushiGo,3,GAME_OVER,82,0,3,9,2,Basic MCTS,2,1,1,3,RandomPlayer,3,OSLA,Basic MCTS,37.0,43.0,26.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
1553932502,SushiGo,3,GAME_OVER,82,0,3,10,2,Basic MCTS,2,1,1,3,RMHC,3,RandomPlayer,Basic MCTS,42.0,48.0,41.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,0
-2090749135,SushiGo,3,GAME_OVER,83,0,3,11,3,Basic MCTS,3,1,1,2,RMHC,2,RandomPlayer,Basic MCTS,24.0,46.0,41.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,0
-287790814,SushiGo,3,GAME_OVER,82,0,3,12,2,Basic MCTS,2,1,1,3,RMHC,3,RandomPlayer,Basic MCTS,35.0,67.0,32.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,0
-355989640,SushiGo,3,GAME_OVER,81,0,3,13,2,Basic MCTS,2,1,1,3,RMHC,3,RandomPlayer,Basic MCTS,38.0,62.0,30.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,0
1553932502,SushiGo,3,GAME_OVER,85,0,3,14,3,Basic MCTS,3,1,1,2,RMHC,2,OSLA,Basic MCTS,33.0,54.0,38.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
-2090749135,SushiGo,3,GAME_OVER,82,0,3,15,2,Basic MCTS,2,1,1,3,RMHC,3,OSLA,Basic MCTS,33.0,53.0,24.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
-287790814,SushiGo,3,GAME_OVER,82,0,3,16,2,Basic MCTS,2,1,1,3,RMHC,3,OSLA,Basic MCTS,37.0,60.0,34.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
-355989640,SushiGo,3,GAME_OVER,85,0,3,17,2,Basic MCTS,2,1,1,3,RMHC,3,OSLA,Basic MCTS,35.0,55.0,25.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
