GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1821004186,GoFish,0,GAME_OVER,99,35,2,34,mcts-500,7.0,6.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
1026227815,GoFish,0,GAME_OVER,97,36,2,35,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-651141359,GoFish,0,GAME_OVER,102,34,2,36,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-906896864,GoFish,0,GAME_OVER,99,38,2,37,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
1342710703,GoFish,0,GAME_OVER,102,37,2,38,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
2046903153,GoFish,0,GAME_OVER,103,37,2,39,mcts-500,7.0,6.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-1086811407,GoFish,0,GAME_OVER,104,39,2,40,mcts-500,2.0,11.0,random,2,mcts-500,2,1,1,random,random,mcts-500,0
744610857,GoFish,0,GAME_OVER,103,39,2,41,mcts-500,7.0,6.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
1160790037,GoFish,0,GAME_OVER,101,35,2,42,mcts-500,5.0,8.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
-1498142046,GoFish,0,GAME_OVER,103,36,2,43,mcts-500,9.0,4.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
-418802376,GoFish,0,GAME_OVER,108,38,2,44,mcts-500,7.0,6.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
-2052236361,GoFish,0,GAME_OVER,99,37,2,45,mcts-500,7.0,6.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
890666145,GoFish,0,GAME_OVER,103,39,2,46,mcts-500,7.0,6.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
1569238478,GoFish,0,GAME_OVER,108,40,2,47,mcts-500,7.0,6.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
-187469389,GoFish,0,GAME_OVER,101,37,2,48,mcts-500,5.0,8.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
-42752577,GoFish,0,GAME_OVER,102,37,2,49,mcts-500,6.0,7.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
-1337774010,GoFish,0,GAME_OVER,105,39,2,50,mcts-500,8.0,5.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
-721901013,GoFish,0,GAME_OVER,102,38,2,51,mcts-500,9.0,4.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
1992352636,GoFish,0,GAME_OVER,101,38,2,52,mcts-500,5.0,8.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
-2117472527,GoFish,0,GAME_OVER,103,35,2,53,mcts-500,8.0,5.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
-1821004186,GoFish,0,GAME_OVER,99,39,2,54,mcts-500,5.0,8.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
1026227815,GoFish,0,GAME_OVER,99,39,2,55,mcts-500,5.0,8.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
-651141359,GoFish,0,GAME_OVER,102,36,2,56,mcts-500,5.0,8.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
-906896864,GoFish,0,GAME_OVER,103,38,2,57,mcts-500,6.0,7.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
1342710703,GoFish,0,GAME_OVER,106,42,2,58,mcts-500,8.0,5.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
2046903153,GoFish,0,GAME_OVER,104,38,2,59,mcts-500,6.0,7.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
-1086811407,GoFish,0,GAME_OVER,99,36,2,60,mcts-500,4.0,9.0,mcts-100,2,mcts-500,2,1,1,mcts-100,mcts-100,mcts-500,0
744610857,GoFish,0,GAME_OVER,100,36,2,61,mcts-500,9.0,4.0,mcts-100,1,mcts-500,1,2,2,mcts-100,mcts-100,mcts-500,1
1160790037,GoFish,0,GAME_OVER,101,41,2,62,mcts-500,7.0,6.0,mcts-5000,1,mcts-500,1,2,2,mcts-5000,mcts-5000,mcts-500,1
-1498142046,GoFish,0,GAME_OVER,103,37,2,63,mcts-500,6.0,7.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
-418802376,GoFish,0,GAME_OVER,98,36,2,64,mcts-500,4.0,9.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
-2052236361,GoFish,0,GAME_OVER,100,34,2,65,mcts-500,5.0,8.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
890666145,GoFish,0,GAME_OVER,98,40,2,66,mcts-500,6.0,7.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
1569238478,GoFish,0,GAME_OVER,109,38,2,67,mcts-500,7.0,6.0,mcts-5000,1,mcts-500,1,2,2,mcts-5000,mcts-5000,mcts-500,1
-187469389,GoFish,0,GAME_OVER,95,38,2,68,mcts-500,4.0,9.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
-42752577,GoFish,0,GAME_OVER,103,37,2,69,mcts-500,7.0,6.0,mcts-5000,1,mcts-500,1,2,2,mcts-5000,mcts-5000,mcts-500,1
-1337774010,GoFish,0,GAME_OVER,103,38,2,70,mcts-500,5.0,8.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
-721901013,GoFish,0,GAME_OVER,101,37,2,71,mcts-500,5.0,8.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
1992352636,GoFish,0,GAME_OVER,100,39,2,72,mcts-500,4.0,9.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
-2117472527,GoFish,0,GAME_OVER,96,39,2,73,mcts-500,9.0,4.0,mcts-5000,1,mcts-500,1,2,2,mcts-5000,mcts-5000,mcts-500,1
-1821004186,GoFish,0,GAME_OVER,99,39,2,74,mcts-500,6.0,7.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
1026227815,GoFish,0,GAME_OVER,100,35,2,75,mcts-500,6.0,7.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
-651141359,GoFish,0,GAME_OVER,104,37,2,76,mcts-500,7.0,6.0,mcts-5000,1,mcts-500,1,2,2,mcts-5000,mcts-5000,mcts-500,1
-906896864,GoFish,0,GAME_OVER,98,38,2,77,mcts-500,9.0,4.0,mcts-5000,1,mcts-500,1,2,2,mcts-5000,mcts-5000,mcts-500,1
1342710703,GoFish,0,GAME_OVER,99,35,2,78,mcts-500,6.0,7.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
2046903153,GoFish,0,GAME_OVER,106,42,2,79,mcts-500,8.0,5.0,mcts-5000,1,mcts-500,1,2,2,mcts-5000,mcts-5000,mcts-500,1
-1086811407,GoFish,0,GAME_OVER,97,39,2,80,mcts-500,5.0,8.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
744610857,GoFish,0,GAME_OVER,102,35,2,81,mcts-500,5.0,8.0,mcts-5000,2,mcts-500,2,1,1,mcts-5000,mcts-5000,mcts-500,0
1160790037,GoFish,0,GAME_OVER,103,38,2,82,mcts-500,3.0,10.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-1498142046,GoFish,0,GAME_OVER,102,37,2,83,mcts-500,5.0,8.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-418802376,GoFish,0,GAME_OVER,104,38,2,84,mcts-500,7.0,6.0,OSLA,1,mcts-500,1,2,2,OSLA,OSLA,mcts-500,1
-2052236361,GoFish,0,GAME_OVER,100,36,2,85,mcts-500,5.0,8.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
890666145,GoFish,0,GAME_OVER,96,35,2,86,mcts-500,6.0,7.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
1569238478,GoFish,0,GAME_OVER,103,36,2,87,mcts-500,5.0,8.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-187469389,GoFish,0,GAME_OVER,98,37,2,88,mcts-500,4.0,9.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-42752577,GoFish,0,GAME_OVER,106,41,2,89,mcts-500,3.0,10.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
-1337774010,GoFish,0,GAME_OVER,102,40,2,90,mcts-500,7.0,6.0,OSLA,1,mcts-500,1,2,2,OSLA,OSLA,mcts-500,1
-721901013,GoFish,0,GAME_OVER,100,36,2,91,mcts-500,6.0,7.0,OSLA,2,mcts-500,2,1,1,OSLA,OSLA,mcts-500,0
