GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1170105035,SushiGo,3,GAME_OVER,84,0,3,2,3,Basic MCTS,3,1,1,2,RandomPlayer,2,RMHC,Basic MCTS,27.0,47.0,46.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
234785527,SushiGo,3,GAME_OVER,84,0,3,3,3,Basic MCTS,3,1,1,2,RandomPlayer,2,RMHC,Basic MCTS,23.0,70.0,40.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
-1360544799,SushiGo,3,GAME_OVER,85,0,3,4,3,Basic MCTS,3,1,1,2,RandomPlayer,2,RMHC,Basic MCTS,24.0,51.0,36.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
205897768,SushiGo,3,GAME_OVER,82,0,3,5,3,Basic MCTS,3,1,1,2,RandomPlayer,2,RMHC,Basic MCTS,25.0,59.0,35.0,RandomPlayer,RMHC,RandomPlayer,Basic MCTS,RMHC,0
-1170105035,SushiGo,3,GAME_OVER,86,0,3,6,3,Basic MCTS,3,1,1,2,RandomPlayer,2,OSLA,Basic MCTS,37.0,53.0,38.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
234785527,SushiGo,3,GAME_OVER,83,0,3,7,3,Basic MCTS,3,1,1,2,RandomPlayer,2,OSLA,Basic MCTS,27.0,74.0,31.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
-1360544799,SushiGo,3,GAME_OVER,85,0,3,8,2,Basic MCTS,2,1,1,3,RandomPlayer,3,OSLA,Basic MCTS,35.0,52.0,34.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
205897768,SushiGo,3,GAME_OVER,84,0,3,9,3,Basic MCTS,3,1,1,2,RandomPlayer,2,OSLA,Basic MCTS,31.0,58.0,39.0,RandomPlayer,OSLA,RandomPlayer,Basic MCTS,OSLA,0
-1170105035,SushiGo,3,GAME_OVER,81,0,3,10,2,Basic MCTS,2,1,1,3,RMHC,3,RandomPlayer,Basic MCTS,35.0,54.0,27.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,0
234785527,SushiGo,3,GAME_OVER,83,0,3,11,2,Basic MCTS,2,1,1,3,RMHC,3,RandomPlayer,Basic MCTS,48.0,74.0,30.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,0
-1360544799,SushiGo,3,GAME_OVER,85,0,3,12,3,Basic MCTS,3,1,1,2,RMHC,2,RandomPlayer,Basic MCTS,26.0,66.0,29.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,0
205897768,SushiGo,3,GAME_OVER,81,0,3,13,1,Basic MCTS,1,2,2,3,RMHC,3,RandomPlayer,Basic MCTS,66.0,35.0,25.0,RMHC,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,84,0,3,14,2,Basic MCTS,2,1,1,3,RMHC,3,OSLA,Basic MCTS,38.0,62.0,28.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
234785527,SushiGo,3,GAME_OVER,85,0,3,15,3,Basic MCTS,3,1,1,2,RMHC,2,OSLA,Basic MCTS,24.0,68.0,43.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
-1360544799,SushiGo,3,GAME_OVER,85,0,3,16,2,Basic MCTS,2,1,1,3,RMHC,3,OSLA,Basic MCTS,48.0,66.0,30.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
205897768,SushiGo,3,GAME_OVER,85,0,3,17,2,Basic MCTS,2,1,1,3,RMHC,3,OSLA,Basic MCTS,31.0,56.0,25.0,RMHC,OSLA,RMHC,Basic MCTS,OSLA,0
